epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.6411,55.18,1.3200,59.72,0.001000,0.5200
1,0.9880,71.04,1.2025,65.19,0.000999,0.5036
2,0.8614,72.22,0.9310,67.45,0.000998,0.4857
3,0.7837,75.63,0.9377,67.36,0.000996,0.5080
4,0.7308,76.66,0.9513,71.18,0.000994,0.4654
5,0.6874,78.05,0.9192,68.40,0.000991,0.4959
6,0.6459,78.74,0.7459,71.70,0.000988,0.4620
7,0.6193,80.35,0.7512,71.09,0.000985,0.5093
8,0.5882,81.08,0.8720,71.79,0.000981,0.4879
9,0.5385,82.20,0.8118,72.14,0.000976,0.4905
10,0.5220,83.03,0.6289,84.11,0.000971,0.4984
11,0.5370,81.20,0.5024,85.94,0.000966,0.4993
12,0.5071,83.30,0.8942,72.83,0.000960,0.4969
13,0.4655,84.72,0.5754,76.13,0.000953,0.4861
14,0.4674,84.33,0.8349,75.00,0.000947,0.4833
15,0.4676,84.89,0.5565,86.72,0.000939,0.4925
16,0.4483,84.72,0.6693,74.39,0.000932,0.4911
17,0.4387,84.91,0.5660,77.00,0.000924,0.5066
18,0.4211,86.11,0.4513,86.55,0.000915,0.4791
19,0.4076,86.16,0.5655,77.34,0.000906,0.4963
20,0.3867,86.82,0.3540,88.45,0.000897,0.4737
21,0.3919,86.57,0.4057,87.33,0.000887,0.4936
22,0.3852,87.21,0.4781,78.99,0.000877,0.4862
23,0.3867,86.91,0.3649,90.36,0.000867,0.4872
24,0.3793,87.33,0.3636,88.72,0.000856,0.4789
25,0.3831,86.84,0.6596,77.17,0.000845,0.4855
26,0.3723,87.60,0.4346,79.34,0.000834,0.5115
27,0.3468,88.38,0.4001,89.32,0.000822,0.4872
28,0.3380,87.79,0.3284,90.89,0.000810,0.4798
29,0.3396,87.92,0.3357,89.84,0.000798,0.4974
30,0.3113,89.60,0.4143,89.41,0.000785,0.4751
31,0.3274,89.38,0.3656,88.80,0.000772,0.4957
32,0.3208,88.31,0.4108,80.21,0.000759,0.4804
33,0.2972,89.62,0.3729,87.93,0.000745,0.4731
34,0.3149,89.33,0.3037,90.10,0.000732,0.4877
35,0.3192,88.62,0.4744,80.47,0.000718,0.4894
36,0.3099,88.87,0.2949,91.67,0.000704,0.4922
37,0.2941,89.82,0.4067,91.93,0.000690,0.4965
38,0.2931,89.70,0.4082,89.67,0.000675,0.4806
39,0.2756,90.87,0.4193,84.55,0.000660,0.4838
40,0.2952,89.72,0.3377,90.54,0.000646,0.4783
41,0.2768,90.36,0.3177,91.06,0.000631,0.4883
42,0.2649,90.80,0.4048,78.56,0.000616,0.4782
43,0.2653,90.28,0.2388,92.01,0.000600,0.5028
44,0.2744,90.60,0.3223,90.80,0.000585,0.4871
45,0.2539,90.67,0.3614,90.36,0.000570,0.4763
46,0.2537,90.87,0.3605,88.72,0.000554,0.4801
47,0.2599,90.06,0.3679,92.01,0.000539,0.4806
48,0.2428,91.36,0.2500,90.89,0.000523,0.4981
49,0.2438,91.60,0.2170,92.53,0.000508,0.4994
50,0.2610,90.72,0.3435,91.67,0.000492,0.4909
51,0.2725,90.23,0.2674,94.01,0.000477,0.5068
52,0.2392,91.85,0.2642,91.23,0.000461,0.5045
53,0.2407,91.48,0.2416,92.62,0.000446,0.5115
54,0.2408,91.24,0.1875,93.92,0.000430,0.4928
55,0.2384,91.21,0.3428,89.93,0.000415,0.4927
56,0.2266,91.19,0.2498,92.53,0.000400,0.4692
57,0.2233,91.24,0.2241,91.32,0.000384,0.4645
58,0.2282,91.60,0.2407,92.71,0.000369,0.4716
59,0.2268,91.41,0.3505,90.80,0.000354,0.5323
60,0.2169,92.43,0.1974,93.14,0.000340,0.5043
61,0.2154,91.70,0.2457,91.32,0.000325,0.5027
62,0.2063,92.36,0.2122,91.58,0.000310,0.5231
63,0.2184,92.02,0.2111,92.62,0.000296,0.4689
64,0.2055,92.53,0.4320,82.81,0.000282,0.4782
65,0.2153,91.94,0.1866,93.58,0.000268,0.4846
66,0.2020,92.16,0.1759,92.97,0.000255,0.4828
67,0.2045,92.16,0.2244,93.14,0.000241,0.4742
68,0.1948,92.92,0.2236,91.23,0.000228,0.4823
69,0.1966,92.33,0.1868,91.49,0.000215,0.4913
70,0.1994,92.97,0.2114,94.10,0.000202,0.4828
71,0.2039,92.63,0.2590,92.01,0.000190,0.4884
72,0.2140,91.82,0.2194,91.49,0.000178,0.4864
73,0.1952,93.04,0.3274,91.67,0.000166,0.5089
74,0.1805,93.68,0.2408,94.62,0.000155,0.4874
75,0.2006,92.70,0.2208,92.71,0.000144,0.4805
76,0.1935,92.87,0.1892,94.01,0.000133,0.4850
77,0.2020,92.53,0.1587,94.88,0.000123,0.5046
78,0.1907,93.04,0.1864,93.23,0.000113,0.4905
79,0.1737,93.60,0.1965,94.27,0.000103,0.4748
80,0.1765,93.77,0.1695,93.49,0.000094,0.4796
81,0.1758,93.53,0.4491,80.03,0.000085,0.4753
82,0.1708,93.60,0.1902,93.14,0.000076,0.4970
83,0.1943,92.82,0.2429,93.49,0.000068,0.5219
84,0.1834,93.02,0.1889,92.97,0.000061,0.5031
85,0.1784,93.19,0.2486,92.88,0.000053,0.4922
86,0.1948,92.29,0.1510,94.44,0.000047,0.5125
87,0.1781,93.43,0.1803,93.23,0.000040,0.4736
88,0.1826,93.33,0.1623,93.58,0.000034,0.5014
89,0.1737,93.43,0.1712,94.44,0.000029,0.5185
90,0.1728,93.33,0.1705,93.06,0.000024,0.4814
91,0.1810,93.41,0.3478,83.42,0.000019,0.4965
92,0.1798,93.51,0.1554,93.58,0.000015,0.4898
93,0.1848,92.85,0.1867,93.49,0.000012,0.4887
94,0.1735,93.60,0.2922,92.71,0.000009,0.5030
95,0.1813,93.36,0.1845,93.40,0.000006,0.4988
96,0.1680,93.63,0.1642,94.10,0.000004,0.4795
97,0.1770,93.46,0.1857,93.92,0.000002,0.4772
