epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.5873,57.74,0.9068,70.88,0.001000,0.4741
1,0.7668,75.40,0.7644,73.02,0.000999,0.4702
2,0.6278,79.05,0.7130,76.16,0.000998,0.4866
3,0.5649,80.99,0.5477,80.31,0.000996,0.4728
4,0.5296,82.20,0.4929,83.15,0.000994,0.4660
5,0.4903,82.67,0.5087,81.53,0.000991,0.4860
6,0.4513,83.43,0.4291,82.70,0.000988,0.4789
7,0.4345,84.61,0.4247,84.35,0.000985,0.4729
8,0.4053,85.80,0.3886,83.97,0.000981,0.4853
9,0.3746,86.43,0.4157,84.30,0.000976,0.4616
10,0.3627,85.91,0.3844,87.17,0.000971,0.4739
11,0.3608,86.62,0.3202,88.94,0.000966,0.4571
12,0.3418,87.83,0.4171,84.91,0.000960,0.5109
13,0.3105,87.76,0.3357,87.03,0.000953,0.4781
14,0.3065,88.21,0.3416,86.35,0.000947,0.4572
15,0.2982,88.54,0.2970,87.03,0.000939,0.4811
16,0.2840,89.42,0.3619,85.52,0.000932,0.4909
17,0.2920,89.04,0.3026,89.20,0.000924,0.4701
18,0.3073,88.45,0.2953,86.29,0.000915,0.4905
19,0.2834,89.23,0.2959,88.20,0.000906,0.4848
20,0.2554,89.63,0.2857,88.03,0.000897,0.4708
21,0.2651,89.54,0.2407,90.81,0.000887,0.4669
22,0.2459,89.54,0.2563,88.95,0.000877,0.4532
23,0.2342,90.27,0.2261,89.50,0.000867,0.4647
24,0.2459,89.49,0.2703,86.38,0.000856,0.4717
25,0.2713,89.23,0.3089,87.90,0.000845,0.4661
26,0.2188,91.19,0.2235,89.94,0.000834,0.4663
27,0.2142,91.05,0.2185,88.98,0.000822,0.4770
28,0.2306,90.60,0.3458,87.25,0.000810,0.4745
29,0.2161,91.24,0.2964,89.37,0.000798,0.4751
30,0.2214,90.84,0.2808,89.68,0.000785,0.4557
31,0.2084,91.79,0.2590,89.12,0.000772,0.4883
32,0.2141,91.05,0.2231,88.16,0.000759,0.4865
33,0.2051,91.45,0.2147,89.50,0.000745,0.4591
34,0.2005,91.50,0.2586,89.08,0.000732,0.4731
35,0.1870,92.73,0.1727,92.45,0.000718,0.4655
36,0.1993,91.88,0.1990,91.85,0.000704,0.4667
37,0.1892,92.28,0.2633,89.85,0.000690,0.4602
38,0.1791,92.87,0.1913,91.89,0.000675,0.4563
39,0.1901,92.42,0.2142,91.76,0.000660,0.4964
40,0.1757,92.85,0.2412,89.03,0.000646,0.4615
41,0.1866,92.28,0.1922,91.50,0.000631,0.4612
42,0.1709,92.78,0.1766,93.45,0.000616,0.4726
43,0.1705,92.59,0.1978,93.41,0.000600,0.4643
44,0.1712,93.02,0.2692,89.89,0.000585,0.4778
45,0.1672,92.99,0.2802,87.69,0.000570,0.4679
46,0.1603,93.16,0.1882,91.63,0.000554,0.4832
47,0.1659,92.78,0.2194,91.37,0.000539,0.4895
48,0.1690,92.42,0.1997,88.95,0.000523,0.4575
49,0.1595,93.13,0.1559,94.19,0.000508,0.4602
50,0.1530,93.18,0.1955,93.02,0.000492,0.4662
51,0.1577,93.42,0.2083,92.20,0.000477,0.4762
52,0.1514,93.35,0.1865,91.28,0.000461,0.4850
53,0.1456,93.61,0.1748,92.06,0.000446,0.4623
54,0.1317,94.27,0.1554,93.62,0.000430,0.4825
55,0.1405,94.06,0.1896,92.19,0.000415,0.5005
56,0.1514,93.68,0.2080,91.32,0.000400,0.4904
57,0.1342,94.60,0.1572,93.19,0.000384,0.4732
58,0.1274,94.06,0.1679,93.28,0.000369,0.4818
59,0.1344,94.25,0.1748,92.76,0.000354,0.4809
60,0.1276,94.37,0.1833,91.37,0.000340,0.4686
61,0.1220,94.60,0.1557,92.41,0.000325,0.4864
62,0.1374,93.99,0.1717,92.76,0.000310,0.4969
63,0.1157,95.17,0.1758,92.28,0.000296,0.4626
64,0.1331,94.48,0.1748,91.50,0.000282,0.4766
65,0.1256,94.27,0.1465,94.32,0.000268,0.4625
66,0.1211,94.63,0.1605,93.80,0.000255,0.4610
67,0.1129,95.00,0.1505,93.32,0.000241,0.4634
68,0.1057,95.08,0.1478,93.15,0.000228,0.4661
69,0.1133,94.98,0.1405,93.71,0.000215,0.4735
70,0.1109,94.77,0.1608,93.67,0.000202,0.4632
71,0.1180,94.37,0.1357,94.32,0.000190,0.4813
72,0.1116,94.93,0.1419,93.10,0.000178,0.4726
73,0.1117,94.91,0.1211,94.53,0.000166,0.4557
74,0.1173,94.65,0.1913,91.11,0.000155,0.4728
75,0.1085,94.79,0.1657,93.19,0.000144,0.4612
76,0.1085,95.22,0.1575,92.72,0.000133,0.4902
77,0.1013,95.19,0.1639,93.28,0.000123,0.4568
78,0.1000,95.45,0.2431,90.02,0.000113,0.5118
79,0.1022,95.12,0.1280,94.66,0.000103,0.4684
80,0.1039,95.05,0.1317,94.58,0.000094,0.4717
81,0.0980,95.60,0.1620,94.19,0.000085,0.4636
82,0.0983,95.48,0.1268,94.06,0.000076,0.4741
83,0.1007,95.43,0.1628,93.32,0.000068,0.4644
84,0.0985,95.22,0.1469,94.06,0.000061,0.4672
85,0.1006,95.31,0.1269,94.14,0.000053,0.4671
86,0.0936,95.69,0.1367,94.45,0.000047,0.4627
87,0.0929,95.57,0.1312,94.84,0.000040,0.4692
88,0.0967,95.53,0.1432,93.88,0.000034,0.4622
89,0.1023,95.29,0.1206,95.27,0.000029,0.4614
90,0.1045,95.67,0.1293,94.23,0.000024,0.4584
91,0.0973,95.98,0.1560,94.06,0.000019,0.4708
92,0.1005,95.17,0.1415,93.63,0.000015,0.4539
93,0.0938,95.67,0.1334,93.36,0.000012,0.4758
94,0.0968,95.36,0.1346,93.54,0.000009,0.4646
95,0.0989,95.34,0.1334,93.88,0.000006,0.4627
96,0.1008,95.36,0.1366,93.41,0.000004,0.4521
97,0.1019,95.03,0.1488,94.23,0.000002,0.4616
98,0.0922,95.64,0.1305,94.02,0.000001,0.4692
99,0.1011,95.24,0.1359,93.54,0.000000,0.4626
100,0.0897,95.69,0.1403,94.32,0.000000,0.4543
