epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.7979,51.91,0.9358,69.58,0.001000,0.4707
1,0.8950,71.65,0.8587,67.50,0.000999,0.4883
2,0.7647,74.40,0.6856,76.96,0.000998,0.4519
3,0.7152,76.01,0.6710,74.96,0.000996,0.4611
4,0.6389,77.34,0.6887,74.44,0.000994,0.4603
5,0.6161,78.61,0.5407,79.73,0.000991,0.5001
6,0.5841,79.89,0.5589,78.60,0.000988,0.4491
7,0.5511,80.10,0.5996,78.17,0.000985,0.4498
8,0.5304,80.33,0.5365,79.90,0.000981,0.4552
9,0.4939,81.89,0.5531,79.46,0.000976,0.4513
10,0.4650,82.51,0.4427,83.02,0.000971,0.4486
11,0.4537,82.88,0.4103,83.37,0.000966,0.4710
12,0.4607,83.02,0.4696,81.20,0.000960,0.4800
13,0.4432,83.27,0.4957,80.50,0.000953,0.4641
14,0.4226,84.15,0.5822,74.17,0.000947,0.4516
15,0.4108,84.74,0.3889,84.67,0.000939,0.4670
16,0.3892,85.23,0.4011,84.58,0.000932,0.4731
17,0.3750,85.34,0.4278,84.32,0.000924,0.4829
18,0.3680,86.14,0.3939,84.32,0.000915,0.4667
19,0.3421,86.08,0.3709,84.23,0.000906,0.4687
20,0.3531,86.63,0.3621,85.19,0.000897,0.4755
21,0.3469,86.03,0.3506,85.01,0.000887,0.4576
22,0.3546,86.26,0.3703,84.92,0.000877,0.4501
23,0.3264,87.52,0.3277,86.57,0.000867,0.4533
24,0.3196,87.48,0.2850,88.39,0.000856,0.4518
25,0.3015,88.30,0.3405,85.96,0.000845,0.4700
26,0.3106,87.94,0.3476,85.71,0.000834,0.4625
27,0.3057,87.94,0.3099,87.26,0.000822,0.4567
28,0.2793,88.60,0.2946,88.39,0.000810,0.4437
29,0.3057,88.10,0.3745,84.32,0.000798,0.4831
30,0.2813,88.74,0.2819,89.69,0.000785,0.4463
31,0.2696,88.97,0.3203,86.75,0.000772,0.4574
32,0.2700,89.20,0.2693,88.56,0.000759,0.4468
33,0.2775,88.99,0.3032,87.09,0.000745,0.5214
34,0.2639,89.52,0.2895,87.01,0.000732,0.4600
35,0.2645,88.99,0.2519,90.30,0.000718,0.4651
36,0.2492,89.89,0.3306,86.74,0.000704,0.4574
37,0.2531,89.84,0.2997,88.13,0.000690,0.4695
38,0.2683,88.97,0.3096,87.96,0.000675,0.4566
39,0.2346,90.53,0.2915,88.04,0.000660,0.4545
40,0.2463,90.17,0.2834,88.48,0.000646,0.4572
41,0.2347,90.49,0.3487,87.09,0.000631,0.4654
42,0.2299,90.81,0.3209,86.92,0.000616,0.4586
43,0.2483,89.68,0.2562,88.66,0.000600,0.4706
44,0.2269,90.05,0.2605,90.29,0.000585,0.4485
45,0.2412,90.00,0.2234,89.44,0.000570,0.4611
46,0.2224,90.56,0.3199,85.36,0.000554,0.4528
47,0.2053,90.76,0.2494,89.25,0.000539,0.4654
48,0.2225,90.46,0.3291,86.75,0.000523,0.4506
49,0.2149,91.20,0.2861,87.08,0.000508,0.4445
