epoch,train_loss,train_acc,val_loss,val_acc,lr
0,35.3860,9.77,38.3434,16.52,0.001000
1,21.1049,33.20,13.1495,39.56,0.000999
2,5.9190,49.35,4.0719,46.51,0.000998
3,2.4944,46.09,2.8288,48.61,0.000996
4,2.5340,43.88,2.3346,52.34,0.000994
5,2.0170,52.60,2.2963,45.83,0.000991
6,1.9243,55.34,2.1430,51.00,0.000988
7,1.8111,55.21,2.1195,49.39,0.000985
8,1.7903,57.94,1.7611,60.22,0.000981
9,1.6248,60.81,1.7720,59.39,0.000976
10,1.5746,62.76,1.7486,63.79,0.000971
11,1.5544,64.71,1.7327,60.18,0.000966
12,1.4670,66.67,1.5795,66.52,0.000960
13,1.3830,67.84,1.5401,72.30,0.000953
14,1.3031,70.18,1.5957,69.57,0.000947
15,1.2269,71.35,1.3231,70.87,0.000939
16,1.1721,72.40,1.6159,67.01,0.000932
17,1.1696,70.96,1.3584,69.13,0.000924
18,1.1266,72.40,1.4459,69.52,0.000915
19,1.1769,70.96,1.4178,71.35,0.000906
20,1.1393,67.06,1.5450,67.96,0.000897
21,1.0990,68.23,1.3712,69.47,0.000887
22,1.0618,71.09,1.2255,74.09,0.000877
23,0.9586,77.60,1.2257,68.30,0.000867
24,0.9621,72.14,1.1089,77.82,0.000856
25,0.8746,77.73,1.1798,73.65,0.000845
26,0.9654,78.12,1.5823,73.26,0.000834
27,1.0411,77.86,1.2423,71.08,0.000822
28,0.9957,75.65,1.2258,68.65,0.000810
29,1.0315,72.27,1.2138,72.52,0.000798
30,0.9915,76.17,1.4553,67.18,0.000785
31,0.9629,75.91,1.2161,73.30,0.000772
32,0.9169,76.82,1.3125,65.91,0.000759
33,0.8633,77.99,1.0507,71.99,0.000745
34,0.8511,76.82,1.1307,75.43,0.000732
35,0.8831,78.65,1.2287,73.30,0.000718
36,0.8823,78.39,1.3480,67.47,0.000704
37,0.8093,80.34,1.0994,74.48,0.000690
38,0.8527,79.69,1.1584,69.21,0.000675
39,0.8345,80.34,1.2439,74.91,0.000660
