epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.5817,57.49,0.9529,71.57,0.001000,0.4586
1,0.8796,73.17,0.8129,74.51,0.000999,0.4807
2,0.7819,75.43,0.6624,78.34,0.000998,0.4547
3,0.6876,78.31,0.6542,79.23,0.000996,0.4636
4,0.6638,78.39,0.6588,75.97,0.000994,0.4651
5,0.6335,79.77,0.5579,80.98,0.000991,0.4835
6,0.5871,80.85,0.5868,79.10,0.000988,0.4963
7,0.5507,82.00,0.5666,80.80,0.000985,0.4853
8,0.5341,82.25,0.5248,82.65,0.000981,0.4558
9,0.5223,82.97,0.5365,83.24,0.000976,0.4732
10,0.5143,82.52,0.5079,82.63,0.000971,0.4850
11,0.5199,82.81,0.5445,79.52,0.000966,0.4513
12,0.5013,83.49,0.5005,83.13,0.000960,0.4815
13,0.4773,83.76,0.4217,85.00,0.000953,0.4958
14,0.4634,84.70,0.4846,82.06,0.000947,0.4786
15,0.4440,84.48,0.4822,83.22,0.000939,0.4723
16,0.4610,84.99,0.5393,83.82,0.000932,0.4596
17,0.4539,84.40,0.4710,83.62,0.000924,0.4493
18,0.4191,85.53,0.4969,82.45,0.000915,0.4795
19,0.4107,86.34,0.4652,83.82,0.000906,0.4672
20,0.4201,85.40,0.4262,85.97,0.000897,0.4573
21,0.4128,85.91,0.4042,85.69,0.000887,0.4857
22,0.4048,86.37,0.4764,85.11,0.000877,0.4719
23,0.3786,86.40,0.3802,85.87,0.000867,0.4665
24,0.3986,86.10,0.4330,84.50,0.000856,0.4680
25,0.3803,87.34,0.4425,84.03,0.000845,0.4682
26,0.3794,86.83,0.3729,87.23,0.000834,0.4777
27,0.3601,87.66,0.4050,86.20,0.000822,0.4656
28,0.3538,87.82,0.3662,86.57,0.000810,0.4646
29,0.3847,86.21,0.3889,86.96,0.000798,0.4624
30,0.3544,87.58,0.4095,85.12,0.000785,0.4856
31,0.3486,87.58,0.3778,85.40,0.000772,0.4851
32,0.3505,87.10,0.3897,85.78,0.000759,0.4465
33,0.3568,87.07,0.3931,84.69,0.000745,0.4656
34,0.3539,87.85,0.4572,83.99,0.000732,0.4730
35,0.3503,87.42,0.3707,87.26,0.000718,0.4892
36,0.3371,88.36,0.3366,88.22,0.000704,0.4785
37,0.3296,89.12,0.4042,84.91,0.000690,0.4724
38,0.3206,88.79,0.3840,85.29,0.000675,0.4749
39,0.3214,88.31,0.3623,87.95,0.000660,0.4936
40,0.3261,88.66,0.4002,84.51,0.000646,0.4746
41,0.3173,88.69,0.3495,86.94,0.000631,0.4849
42,0.3150,89.14,0.3610,86.28,0.000616,0.4454
43,0.3084,89.14,0.3594,87.63,0.000600,0.4814
44,0.3010,88.79,0.3480,87.74,0.000585,0.4637
45,0.3080,89.12,0.3375,88.15,0.000570,0.4782
46,0.3084,88.79,0.3353,86.47,0.000554,0.4803
47,0.2950,89.74,0.3490,87.06,0.000539,0.4715
48,0.2826,90.11,0.4179,85.29,0.000523,0.4907
49,0.2876,88.85,0.3556,88.44,0.000508,0.4763
50,0.2820,90.27,0.3219,88.71,0.000492,0.4736
51,0.2743,90.25,0.3053,89.62,0.000477,0.4739
52,0.2642,90.25,0.3656,86.25,0.000461,0.4516
53,0.2798,89.87,0.3455,88.33,0.000446,0.4799
54,0.2593,90.87,0.3183,87.93,0.000430,0.4577
55,0.2728,90.01,0.3454,86.00,0.000415,0.4621
56,0.2737,90.22,0.3318,88.05,0.000400,0.4631
57,0.2605,90.49,0.2849,89.60,0.000384,0.4601
58,0.2526,90.89,0.3373,87.27,0.000369,0.4764
59,0.2700,90.36,0.3443,87.65,0.000354,0.4642
60,0.2553,90.87,0.3078,88.24,0.000340,0.4729
61,0.2554,91.03,0.3667,86.47,0.000325,0.4775
62,0.2485,90.76,0.2864,89.12,0.000310,0.4752
63,0.2547,90.92,0.2962,89.32,0.000296,0.4733
64,0.2437,91.06,0.3129,87.93,0.000282,0.4762
65,0.2291,92.00,0.2983,88.52,0.000268,0.4616
66,0.2396,90.76,0.3218,87.94,0.000255,0.4675
67,0.2369,91.00,0.3162,87.64,0.000241,0.4709
68,0.2410,91.06,0.3087,88.43,0.000228,0.4720
69,0.2341,91.35,0.3375,88.33,0.000215,0.4693
70,0.2336,91.24,0.2659,89.99,0.000202,0.4901
71,0.2331,91.76,0.2674,90.59,0.000190,0.4652
72,0.2290,92.08,0.3035,88.24,0.000178,0.4527
73,0.2358,91.14,0.2823,89.71,0.000166,0.4751
74,0.2317,91.62,0.3047,88.63,0.000155,0.4608
75,0.2260,92.32,0.2749,89.02,0.000144,0.4692
76,0.2294,91.24,0.2657,89.99,0.000133,0.4632
77,0.2296,92.16,0.3134,89.62,0.000123,0.4787
78,0.2194,92.13,0.2907,89.70,0.000113,0.4569
79,0.2207,91.78,0.3037,88.73,0.000103,0.4566
80,0.2316,91.84,0.2613,90.20,0.000094,0.4710
81,0.2253,91.62,0.2835,89.80,0.000085,0.4471
82,0.2135,91.81,0.2647,89.88,0.000076,0.4687
83,0.2267,91.70,0.3138,88.32,0.000068,0.4754
84,0.2145,92.08,0.3219,88.02,0.000061,0.4780
85,0.2262,91.00,0.2755,89.99,0.000053,0.4681
86,0.2127,92.19,0.2734,89.32,0.000047,0.4539
87,0.2227,91.73,0.2667,90.10,0.000040,0.4477
88,0.2116,92.11,0.2942,89.71,0.000034,0.4599
89,0.2223,91.73,0.2974,88.62,0.000029,0.4613
90,0.2132,92.40,0.2816,89.59,0.000024,0.4870
91,0.2313,91.03,0.2721,89.12,0.000019,0.4672
