epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.9616,33.98,1.6972,45.40,0.001000
1,1.2165,60.42,1.4047,58.41,0.000999
2,0.9475,69.79,1.2543,67.33,0.000998
3,0.8566,70.70,1.2134,68.84,0.000996
4,0.7427,75.78,1.0995,69.72,0.000994
5,0.6970,75.91,1.0300,69.28,0.000991
6,0.6014,77.73,0.9880,71.14,0.000988
7,0.5588,79.56,1.0733,61.19,0.000985
8,0.5005,79.30,1.0172,69.03,0.000981
9,0.5049,79.04,0.9010,68.84,0.000976
10,0.4428,85.16,0.9793,65.85,0.000971
11,0.4440,82.42,0.9144,71.58,0.000966
12,0.4659,80.21,0.9270,73.05,0.000960
13,0.4622,82.16,0.8936,70.54,0.000953
14,0.4110,85.68,1.0260,70.36,0.000947
15,0.3805,83.85,0.8225,74.22,0.000939
16,0.3538,86.07,1.0357,66.29,0.000932
17,0.3816,82.94,0.8329,72.66,0.000924
18,0.3408,85.16,0.8786,74.56,0.000915
19,0.3589,84.38,0.8242,68.54,0.000906
20,0.3146,87.37,0.8043,73.35,0.000897
21,0.3339,84.51,0.9356,70.84,0.000887
22,0.4069,84.51,0.8635,65.51,0.000877
23,0.3404,82.55,0.8602,76.13,0.000867
24,0.3006,86.59,0.8326,71.32,0.000856
25,0.3368,86.59,0.8341,75.34,0.000845
26,0.2860,84.51,0.8778,67.67,0.000834
27,0.2809,87.37,0.9171,70.54,0.000822
28,0.2900,84.38,0.9166,71.58,0.000810
29,0.2761,88.15,0.8033,71.58,0.000798
30,0.2531,87.76,0.8337,70.36,0.000785
31,0.2254,89.19,0.8567,73.44,0.000772
32,0.2432,89.19,0.7998,73.64,0.000759
33,0.2273,88.15,0.8802,71.30,0.000745
34,0.2192,89.06,0.7221,71.67,0.000732
35,0.1973,89.58,0.7234,78.72,0.000718
36,0.1928,91.28,0.7886,71.19,0.000704
37,0.1869,90.49,0.7820,72.89,0.000690
38,0.2302,88.93,0.8224,74.86,0.000675
39,0.1889,88.80,0.8352,73.00,0.000660
40,0.2134,91.15,0.7127,73.74,0.000646
41,0.1786,89.32,0.8592,75.60,0.000631
42,0.2006,90.23,0.7578,73.53,0.000616
43,0.1989,86.85,0.8220,77.60,0.000600
44,0.1676,90.89,0.8322,73.48,0.000585
45,0.1650,90.76,0.7927,76.03,0.000570
46,0.1701,90.76,0.9211,71.48,0.000554
47,0.1655,92.32,0.8198,75.83,0.000539
48,0.1557,92.06,0.8458,78.33,0.000523
49,0.1450,92.19,0.8258,74.22,0.000508
50,0.1525,90.62,0.9277,72.75,0.000492
