epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.6849,51.66,1.0059,65.86,0.001000,0.4639
1,0.9215,69.96,0.7690,73.16,0.000999,0.4581
2,0.7829,73.37,0.6881,76.60,0.000998,0.4539
3,0.7342,74.03,0.6732,76.21,0.000996,0.4593
4,0.6955,76.28,0.6809,76.56,0.000994,0.4539
5,0.6506,77.34,0.6538,76.10,0.000991,0.4745
6,0.6126,78.39,0.6754,73.81,0.000988,0.4553
7,0.5858,78.74,0.5551,79.87,0.000985,0.4512
8,0.5447,80.04,0.5146,82.48,0.000981,0.4611
9,0.5188,80.92,0.5270,80.71,0.000976,0.4764
10,0.5066,81.49,0.4973,81.70,0.000971,0.4621
11,0.4791,82.72,0.4640,80.91,0.000966,0.4610
12,0.4819,82.10,0.4812,82.75,0.000960,0.4566
13,0.4718,82.34,0.4776,81.96,0.000953,0.4669
14,0.4324,83.21,0.5066,80.02,0.000947,0.4446
15,0.4492,82.39,0.4582,81.07,0.000939,0.4517
16,0.4490,83.43,0.4380,83.61,0.000932,0.4555
17,0.4232,84.33,0.4047,83.58,0.000924,0.4674
18,0.4187,84.00,0.5356,80.52,0.000915,0.5022
19,0.4117,84.33,0.4116,84.08,0.000906,0.4397
20,0.4164,83.97,0.4498,82.71,0.000897,0.4698
21,0.3704,85.39,0.4615,82.74,0.000887,0.4562
22,0.4003,84.68,0.4093,84.59,0.000877,0.4725
23,0.3623,85.82,0.3994,84.71,0.000867,0.4626
24,0.3545,85.94,0.4076,83.75,0.000856,0.4527
25,0.3708,85.39,0.3735,86.73,0.000845,0.4768
26,0.3450,87.14,0.3852,85.88,0.000834,0.4521
27,0.3399,86.46,0.3777,85.30,0.000822,0.4650
28,0.3308,86.81,0.3553,86.14,0.000810,0.4705
29,0.3335,86.86,0.3770,84.76,0.000798,0.4782
30,0.3260,86.96,0.3468,85.54,0.000785,0.4576
31,0.3363,86.86,0.3235,87.38,0.000772,0.4621
32,0.3164,87.05,0.3896,85.14,0.000759,0.4729
33,0.3139,87.64,0.3218,87.21,0.000745,0.4960
34,0.3012,87.69,0.3711,86.31,0.000732,0.4801
35,0.2893,88.80,0.2949,87.30,0.000718,0.4640
36,0.2862,88.28,0.2874,88.90,0.000704,0.4805
37,0.3108,87.74,0.3371,85.63,0.000690,0.4643
38,0.2886,88.35,0.3113,87.24,0.000675,0.4659
39,0.2862,88.78,0.3075,86.85,0.000660,0.4949
40,0.2639,89.58,0.3559,84.82,0.000646,0.4725
41,0.2745,88.92,0.2761,88.61,0.000631,0.4774
42,0.2857,88.54,0.2867,87.38,0.000616,0.4743
43,0.2667,88.87,0.2755,88.05,0.000600,0.4667
44,0.2673,88.99,0.3214,87.79,0.000585,0.4772
45,0.2612,89.80,0.2809,88.05,0.000570,0.4602
46,0.2506,89.89,0.2973,88.61,0.000554,0.4469
47,0.2544,89.77,0.3265,86.85,0.000539,0.4550
48,0.2437,89.63,0.3031,85.91,0.000523,0.4567
49,0.2581,89.18,0.2512,88.93,0.000508,0.4830
50,0.2279,90.46,0.3371,85.04,0.000492,0.4521
51,0.2477,89.96,0.2728,89.23,0.000477,0.4435
52,0.2358,90.77,0.2640,89.34,0.000461,0.4572
53,0.2347,89.99,0.3109,87.04,0.000446,0.4845
54,0.2218,90.18,0.2713,88.63,0.000430,0.4483
55,0.2310,90.03,0.2595,88.35,0.000415,0.4614
56,0.2235,91.07,0.2297,89.76,0.000400,0.4642
57,0.2208,90.20,0.2910,88.50,0.000384,0.4926
58,0.2167,91.17,0.2513,90.10,0.000369,0.4619
59,0.2099,91.41,0.2117,91.49,0.000354,0.4942
60,0.2194,90.22,0.2380,89.55,0.000340,0.4609
61,0.2094,91.48,0.2706,88.71,0.000325,0.4487
62,0.1968,91.81,0.2506,88.80,0.000310,0.4497
63,0.1971,91.64,0.2315,89.91,0.000296,0.4805
64,0.2001,91.67,0.2069,90.28,0.000282,0.4533
65,0.1961,92.07,0.2178,91.22,0.000268,0.4591
66,0.1968,91.43,0.2371,89.31,0.000255,0.4472
67,0.1910,91.81,0.2396,89.84,0.000241,0.4704
68,0.1919,91.95,0.2306,90.44,0.000228,0.4505
69,0.1918,92.02,0.2557,89.39,0.000215,0.4524
70,0.1876,92.31,0.2639,89.23,0.000202,0.4920
71,0.1786,92.85,0.2237,90.20,0.000190,0.4668
72,0.1884,92.16,0.1910,91.74,0.000178,0.4788
73,0.1902,92.09,0.2259,90.87,0.000166,0.4660
74,0.1807,92.19,0.2224,89.57,0.000155,0.4481
75,0.1798,92.35,0.2453,89.60,0.000144,0.4409
76,0.1772,92.83,0.2351,89.32,0.000133,0.4722
77,0.1916,91.64,0.2085,90.54,0.000123,0.4612
78,0.1794,92.76,0.1965,92.01,0.000113,0.4487
