epoch,train_loss,train_acc,val_loss,val_acc,lr
0,33.9928,5.60,60.9923,9.48,0.001000
1,32.2312,25.26,16.2141,36.17,0.000999
2,10.5183,42.84,6.7880,40.96,0.000998
3,6.4710,45.05,5.6848,42.23,0.000996
4,5.1677,44.14,4.5311,35.39,0.000994
5,4.8664,42.19,4.1757,38.22,0.000991
6,4.2206,45.70,4.1066,41.25,0.000988
7,4.1100,45.96,4.4549,43.31,0.000985
8,3.9858,47.92,3.8098,45.16,0.000981
9,3.6734,52.86,3.2958,44.87,0.000976
10,3.4706,53.12,3.3655,42.13,0.000971
11,2.9787,52.21,3.0073,52.10,0.000966
12,2.7325,59.64,2.5242,49.95,0.000960
13,2.5842,58.59,2.2975,50.05,0.000953
14,2.5400,56.90,2.3214,48.39,0.000947
15,2.5338,56.25,2.2849,51.81,0.000939
16,2.4292,61.72,2.3348,50.64,0.000932
17,2.2806,58.59,2.2326,52.60,0.000924
18,2.3028,61.59,1.9478,56.21,0.000915
19,2.0577,64.06,2.0421,52.01,0.000906
20,2.1485,62.11,2.2430,52.88,0.000897
21,2.0548,64.71,2.0238,59.43,0.000887
22,2.0262,66.93,1.8192,59.63,0.000877
23,2.1898,64.19,2.2933,56.01,0.000867
24,2.1325,64.97,1.8319,58.95,0.000856
25,1.9568,64.32,2.1282,51.71,0.000845
26,2.0587,65.23,1.9275,57.38,0.000834
27,1.8353,67.32,1.8701,57.68,0.000822
28,1.6022,66.67,1.9068,56.31,0.000810
29,1.5984,70.57,1.8697,60.80,0.000798
30,1.7039,71.22,1.8294,62.27,0.000785
31,1.5557,69.53,1.8069,54.35,0.000772
32,1.2738,68.10,1.6660,59.04,0.000759
33,1.1563,70.70,1.5482,59.83,0.000745
34,1.1461,70.05,1.6661,61.88,0.000732
35,1.1820,70.31,1.5157,65.11,0.000718
36,1.1251,70.83,1.4988,63.74,0.000704
37,1.0560,71.61,1.6049,62.47,0.000690
38,1.0439,73.83,1.4307,60.12,0.000675
39,1.0177,74.74,1.2655,64.32,0.000660
40,0.9574,74.87,1.5337,65.79,0.000646
41,0.9100,74.74,1.4121,65.39,0.000631
42,0.9110,78.12,1.5909,58.16,0.000616
43,0.9334,75.39,1.3125,65.11,0.000600
44,0.8809,76.69,1.4288,64.52,0.000585
45,0.7841,78.26,1.2063,65.69,0.000570
46,0.8720,76.69,1.2212,66.28,0.000554
47,0.7886,77.73,1.1509,66.48,0.000539
48,0.8125,76.56,0.9955,72.34,0.000523
49,0.8124,77.47,1.1897,68.72,0.000508
50,0.8109,77.60,1.3561,67.16,0.000492
51,0.7261,79.69,1.0956,69.99,0.000477
52,0.7313,80.73,1.1711,69.90,0.000461
53,0.7371,80.47,1.2198,70.78,0.000446
54,0.7227,79.82,1.1266,73.41,0.000430
55,0.6818,81.25,0.9378,75.47,0.000415
56,0.7707,80.08,1.1211,69.99,0.000400
57,0.6860,80.73,1.1294,73.81,0.000384
58,0.7522,78.91,1.1541,68.13,0.000369
59,0.6655,81.12,1.0936,70.19,0.000354
60,0.6715,81.90,0.9812,74.98,0.000340
61,0.6804,81.12,1.1051,70.38,0.000325
62,0.7199,79.30,1.1564,68.72,0.000310
63,0.6674,81.77,1.0422,70.68,0.000296
64,0.5894,83.07,0.9930,73.02,0.000282
65,0.6574,80.73,1.2886,67.16,0.000268
66,0.6557,82.55,1.1129,67.35,0.000255
67,0.5769,83.46,1.0822,76.55,0.000241
68,0.5815,83.20,1.1153,74.39,0.000228
69,0.5615,85.03,1.0850,71.75,0.000215
70,0.5889,82.55,1.0450,66.96,0.000202
71,0.5636,82.16,1.0874,70.29,0.000190
72,0.5897,83.07,1.1659,67.25,0.000178
73,0.5751,81.38,0.9518,68.82,0.000166
74,0.5916,80.60,0.8577,74.00,0.000155
75,0.5632,83.98,0.9748,71.16,0.000144
76,0.5671,82.29,1.0405,69.90,0.000133
77,0.5511,82.94,0.9452,71.94,0.000123
78,0.5030,85.68,0.9689,72.34,0.000113
79,0.5206,83.46,1.0383,69.70,0.000103
80,0.5492,84.64,0.9362,74.10,0.000094
81,0.5298,84.51,1.0274,74.29,0.000085
82,0.5313,83.59,0.9660,74.00,0.000076
