epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.6274,57.46,0.7858,75.48,0.001000,0.4905
1,0.7706,76.19,0.6106,80.11,0.000999,0.4578
2,0.6416,79.09,0.6079,81.36,0.000998,0.4741
3,0.5902,81.06,0.5525,83.57,0.000996,0.4993
4,0.5192,83.24,0.5364,79.42,0.000994,0.4683
5,0.4977,83.05,0.4255,84.44,0.000991,0.4742
6,0.4600,83.59,0.4073,86.45,0.000988,0.4693
7,0.4216,84.94,0.3946,86.15,0.000985,0.4739
8,0.4090,85.26,0.4313,84.05,0.000981,0.4649
9,0.4291,84.83,0.3732,85.52,0.000976,0.5022
10,0.3926,85.59,0.3839,86.79,0.000971,0.4604
11,0.3640,86.77,0.3358,87.02,0.000966,0.4608
12,0.3467,87.23,0.2881,90.34,0.000960,0.4908
13,0.3161,88.17,0.3149,88.58,0.000953,0.4760
14,0.3263,87.28,0.3111,88.78,0.000947,0.4959
15,0.3242,87.90,0.2867,91.22,0.000939,0.4624
16,0.3178,88.77,0.3088,88.79,0.000932,0.4772
17,0.3068,88.28,0.2871,89.47,0.000924,0.4873
18,0.2886,89.22,0.3062,88.15,0.000915,0.4769
19,0.2686,89.47,0.2543,90.59,0.000906,0.4785
20,0.2682,89.66,0.3470,82.45,0.000897,0.5216
21,0.2772,89.47,0.2280,91.51,0.000887,0.4985
22,0.2496,89.95,0.2581,89.51,0.000877,0.4716
23,0.2726,89.71,0.2803,90.45,0.000867,0.4692
24,0.2627,89.68,0.2291,91.27,0.000856,0.4691
25,0.2514,89.68,0.3291,85.27,0.000845,0.4635
26,0.2593,90.33,0.3426,90.20,0.000834,0.4770
27,0.2420,90.09,0.1908,90.78,0.000822,0.4826
28,0.2287,91.33,0.1896,93.03,0.000810,0.4648
29,0.2274,90.65,0.1820,91.96,0.000798,0.4763
30,0.2167,91.19,0.1894,91.80,0.000785,0.4537
31,0.2118,91.46,0.1683,92.44,0.000772,0.4704
32,0.2118,91.03,0.2304,93.02,0.000759,0.4838
33,0.1934,91.78,0.1928,93.86,0.000745,0.4621
34,0.2226,90.84,0.2625,90.69,0.000732,0.4975
35,0.2122,91.27,0.2479,90.54,0.000718,0.4816
36,0.2089,91.54,0.1826,92.20,0.000704,0.4898
37,0.2103,91.00,0.2374,89.32,0.000690,0.4765
38,0.2047,91.49,0.1573,93.31,0.000675,0.4926
39,0.1734,93.16,0.1992,90.98,0.000660,0.4893
40,0.1840,91.76,0.1528,93.22,0.000646,0.4816
41,0.1738,92.94,0.1635,94.24,0.000631,0.4695
42,0.2028,91.16,0.1647,91.61,0.000616,0.4842
43,0.1849,92.21,0.1643,93.51,0.000600,0.5000
