epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.6786,53.57,0.9104,72.54,0.001000,0.5034
1,0.9295,70.57,0.7744,74.45,0.000999,0.4768
2,0.7604,75.83,0.5960,81.61,0.000998,0.4834
3,0.6978,77.04,0.5727,80.83,0.000996,0.4751
4,0.6333,78.27,0.4864,84.09,0.000994,0.4649
5,0.6072,79.33,0.4815,83.57,0.000991,0.4860
6,0.5564,81.39,0.4943,82.13,0.000988,0.4793
7,0.5598,80.40,0.4724,85.30,0.000985,0.4754
8,0.5082,82.48,0.3880,86.50,0.000981,0.4812
9,0.4938,82.32,0.3841,86.26,0.000976,0.4933
10,0.4800,83.33,0.3857,86.78,0.000971,0.4682
11,0.4453,84.07,0.3425,88.56,0.000966,0.4970
12,0.4210,84.54,0.3796,86.52,0.000960,0.4614
13,0.4354,84.16,0.3611,87.56,0.000953,0.4947
14,0.4138,85.13,0.3725,86.75,0.000947,0.4904
15,0.4120,85.23,0.4414,84.93,0.000939,0.4833
16,0.3926,85.70,0.3335,87.47,0.000932,0.4767
17,0.3892,85.23,0.3314,89.30,0.000924,0.5004
18,0.3886,85.65,0.3794,84.32,0.000915,0.4601
19,0.3525,87.26,0.3570,87.73,0.000906,0.4946
20,0.3524,86.96,0.3171,88.95,0.000897,0.4735
21,0.3407,87.05,0.3587,86.09,0.000887,0.4840
22,0.3477,87.17,0.2827,89.19,0.000877,0.4903
23,0.3285,87.88,0.2821,89.52,0.000867,0.4790
24,0.3345,87.38,0.2732,90.36,0.000856,0.4780
25,0.3335,87.71,0.3230,87.63,0.000845,0.4770
26,0.3153,88.12,0.2910,89.19,0.000834,0.4616
27,0.3042,88.42,0.2895,89.30,0.000822,0.4982
28,0.3182,87.19,0.3217,87.76,0.000810,0.4520
29,0.3001,88.87,0.3047,90.21,0.000798,0.4889
30,0.3133,87.78,0.3042,89.12,0.000785,0.4828
31,0.2933,89.13,0.2640,89.43,0.000772,0.4676
32,0.2826,89.44,0.2880,89.86,0.000759,0.4683
33,0.2733,89.56,0.2788,87.37,0.000745,0.4870
34,0.2655,90.01,0.2431,91.67,0.000732,0.4786
35,0.2793,89.46,0.3219,88.60,0.000718,0.4595
36,0.2697,89.65,0.2698,89.95,0.000704,0.4661
37,0.2515,90.22,0.2342,92.80,0.000690,0.4845
38,0.2572,90.20,0.2470,89.30,0.000675,0.4654
39,0.2575,89.94,0.2588,90.02,0.000660,0.4961
40,0.2483,89.96,0.2865,90.36,0.000646,0.4767
41,0.2502,90.03,0.2492,91.77,0.000631,0.4934
42,0.2534,90.15,0.2312,91.17,0.000616,0.4785
43,0.2519,90.65,0.2213,92.80,0.000600,0.4834
44,0.2550,90.08,0.2567,89.88,0.000585,0.5022
45,0.2277,91.17,0.2082,91.06,0.000570,0.4752
46,0.2422,90.58,0.2622,90.58,0.000554,0.4706
47,0.2329,90.91,0.2014,93.06,0.000539,0.4874
48,0.2281,90.96,0.2220,92.53,0.000523,0.4748
49,0.2280,90.89,0.2304,91.47,0.000508,0.4946
50,0.2269,91.12,0.2149,90.84,0.000492,0.4749
51,0.2105,91.86,0.2036,92.64,0.000477,0.4776
52,0.2024,91.76,0.1804,93.27,0.000461,0.4799
53,0.2155,91.31,0.2133,93.08,0.000446,0.4666
54,0.2211,91.86,0.2154,92.53,0.000430,0.4634
55,0.2083,91.69,0.2818,90.86,0.000415,0.4627
56,0.1969,92.26,0.2930,89.34,0.000400,0.4649
57,0.2106,91.88,0.2139,91.69,0.000384,0.4768
58,0.2031,91.48,0.1969,93.16,0.000369,0.4681
59,0.1946,92.02,0.2493,91.60,0.000354,0.4746
60,0.1916,92.57,0.1838,93.08,0.000340,0.4755
61,0.1917,92.09,0.1826,93.92,0.000325,0.4629
62,0.1817,92.50,0.2096,93.66,0.000310,0.4676
63,0.1863,92.95,0.1727,93.34,0.000296,0.4731
64,0.1921,92.52,0.1966,93.14,0.000282,0.4763
65,0.1952,92.09,0.1667,93.62,0.000268,0.4640
66,0.1828,92.40,0.1572,94.29,0.000255,0.4783
67,0.1916,92.33,0.1705,94.12,0.000241,0.4768
68,0.1910,92.50,0.1559,94.40,0.000228,0.4866
69,0.1804,92.90,0.1797,92.21,0.000215,0.4653
70,0.1741,92.87,0.1564,94.55,0.000202,0.5115
71,0.1900,92.57,0.1933,93.16,0.000190,0.4659
72,0.1904,92.61,0.1672,94.62,0.000178,0.4696
73,0.1752,92.85,0.1896,93.58,0.000166,0.4662
74,0.1702,93.30,0.1597,94.29,0.000155,0.4617
75,0.1751,92.90,0.2084,92.97,0.000144,0.4724
76,0.1702,92.92,0.1808,92.97,0.000133,0.4586
77,0.1644,93.44,0.1521,95.05,0.000123,0.4829
78,0.1756,93.25,0.1683,93.40,0.000113,0.4668
79,0.1718,92.97,0.1916,91.71,0.000103,0.4737
80,0.1711,93.25,0.1799,94.05,0.000094,0.4754
81,0.1651,93.49,0.1637,94.01,0.000085,0.4875
82,0.1547,93.56,0.1533,94.62,0.000076,0.5187
83,0.1626,92.95,0.1723,93.42,0.000068,0.4651
84,0.1624,93.37,0.1667,94.10,0.000061,0.4676
85,0.1566,93.61,0.1724,93.25,0.000053,0.4939
86,0.1634,93.11,0.2211,89.32,0.000047,0.4708
87,0.1574,93.94,0.1818,94.64,0.000040,0.4648
88,0.1578,93.92,0.1557,94.20,0.000034,0.4868
89,0.1584,94.11,0.1665,93.08,0.000029,0.4851
90,0.1636,93.21,0.2387,91.34,0.000024,0.4694
91,0.1437,94.11,0.1889,93.42,0.000019,0.4587
92,0.1588,93.80,0.1670,93.94,0.000015,0.4908
93,0.1463,93.96,0.1874,93.51,0.000012,0.4876
94,0.1551,93.49,0.1487,94.12,0.000009,0.4783
95,0.1536,93.49,0.1902,92.62,0.000006,0.4786
96,0.1571,93.63,0.1918,92.73,0.000004,0.4490
