epoch,train_loss,train_acc,val_loss,val_acc,lr
0,1.6918,52.32,1.2156,62.86,0.001000
1,1.0262,67.92,0.8722,72.69,0.000999
2,0.8463,73.71,0.8795,71.50,0.000998
3,0.7690,75.63,0.7296,73.83,0.000996
4,0.6762,76.29,0.6874,78.19,0.000994
5,0.6347,78.44,0.6741,77.03,0.000991
6,0.5911,79.57,0.5488,81.15,0.000988
7,0.5406,81.71,0.5611,81.49,0.000985
8,0.5099,81.64,0.5233,82.37,0.000981
9,0.5184,81.25,0.4940,83.85,0.000976
10,0.4811,83.30,0.4934,83.22,0.000971
11,0.4269,84.69,0.4600,84.46,0.000966
12,0.4178,85.21,0.5246,77.28,0.000960
13,0.4289,83.62,0.4314,84.96,0.000953
14,0.4266,84.74,0.3992,84.62,0.000947
15,0.4097,85.11,0.4734,81.85,0.000939
16,0.3773,85.96,0.3570,86.97,0.000932
17,0.3756,86.08,0.4757,83.05,0.000924
18,0.3569,87.23,0.4304,79.66,0.000915
19,0.3525,86.43,0.3598,87.07,0.000906
20,0.3328,87.94,0.4085,85.93,0.000897
21,0.3460,86.77,0.3245,88.37,0.000887
22,0.3233,87.94,0.3400,87.85,0.000877
23,0.3458,87.52,0.3495,86.45,0.000867
24,0.3119,88.79,0.3436,85.73,0.000856
25,0.2950,89.14,0.3039,87.39,0.000845
26,0.3011,88.84,0.3714,81.63,0.000834
27,0.2741,89.33,0.3420,87.49,0.000822
28,0.3042,88.06,0.3096,88.54,0.000810
29,0.2764,89.48,0.3188,88.79,0.000798
30,0.2688,89.45,0.2456,91.06,0.000785
31,0.2639,89.60,0.2728,89.05,0.000772
32,0.2534,90.16,0.3102,88.54,0.000759
33,0.2745,89.45,0.2621,89.24,0.000745
34,0.2642,89.36,0.2619,90.28,0.000732
35,0.2582,89.67,0.2773,90.80,0.000718
36,0.2546,90.48,0.2745,88.88,0.000704
37,0.2386,90.72,0.2571,91.41,0.000690
38,0.2329,91.06,0.2920,90.19,0.000675
39,0.2507,89.21,0.2820,90.44,0.000660
40,0.2279,91.16,0.3132,88.60,0.000646
41,0.2430,90.16,0.2421,90.61,0.000631
42,0.2254,90.84,0.2878,87.23,0.000616
43,0.2267,90.92,0.2697,89.74,0.000600
44,0.2378,90.36,0.2463,90.18,0.000585
45,0.2235,90.67,0.2504,89.31,0.000570
46,0.2153,91.19,0.2793,87.31,0.000554
47,0.2172,90.87,0.2392,89.93,0.000539
48,0.1995,91.82,0.2715,87.04,0.000523
49,0.2182,90.84,0.2504,89.56,0.000508
50,0.2082,91.50,0.2695,90.09,0.000492
51,0.2007,91.89,0.2448,91.67,0.000477
52,0.2056,91.28,0.2479,90.71,0.000461
53,0.1844,91.75,0.2340,89.83,0.000446
54,0.1897,92.04,0.2661,88.26,0.000430
55,0.1985,91.41,0.2376,90.54,0.000415
56,0.1827,92.41,0.2287,90.79,0.000400
57,0.1848,92.29,0.2184,90.51,0.000384
58,0.1858,92.21,0.2332,90.45,0.000369
59,0.1750,92.92,0.2333,88.95,0.000354
60,0.1790,92.58,0.1982,90.70,0.000340
61,0.1742,92.80,0.2817,88.53,0.000325
62,0.1651,93.31,0.1972,90.35,0.000310
63,0.1702,92.77,0.2078,90.70,0.000296
64,0.1800,92.41,0.2226,90.79,0.000282
65,0.1649,92.94,0.2594,87.82,0.000268
66,0.1603,92.90,0.2026,90.87,0.000255
67,0.1665,92.92,0.2109,90.53,0.000241
68,0.1673,93.09,0.2175,91.05,0.000228
69,0.1620,92.70,0.1989,91.05,0.000215
70,0.1652,93.02,0.2215,91.31,0.000202
71,0.1687,92.87,0.2553,88.08,0.000190
