epoch,train_loss,train_acc,val_loss,val_acc,lr
0,1.3972,62.90,0.7531,79.71,0.001000
1,0.6847,79.36,0.6034,81.84,0.000999
2,0.5791,81.12,0.5858,78.28,0.000998
3,0.5246,83.43,0.4865,84.73,0.000996
4,0.4752,83.92,0.4938,80.76,0.000994
5,0.4284,84.38,0.3945,86.83,0.000991
6,0.4300,84.08,0.3904,86.52,0.000988
7,0.3751,86.69,0.3875,86.34,0.000985
8,0.3784,85.88,0.4202,85.13,0.000981
9,0.3859,86.37,0.3485,86.40,0.000976
10,0.3548,86.83,0.3217,87.87,0.000971
11,0.3362,88.07,0.3730,87.46,0.000966
12,0.3356,87.80,0.3154,88.62,0.000960
13,0.3098,88.74,0.3152,89.63,0.000953
14,0.2966,88.42,0.3357,88.67,0.000947
15,0.2858,89.52,0.2950,88.55,0.000939
16,0.2856,88.77,0.3103,89.22,0.000932
17,0.2782,89.44,0.2926,89.61,0.000924
18,0.2589,90.33,0.3013,87.38,0.000915
19,0.2640,89.98,0.2426,90.88,0.000906
20,0.2549,90.36,0.2809,89.61,0.000897
21,0.2533,89.92,0.2690,89.22,0.000887
22,0.2602,89.98,0.2707,90.13,0.000877
23,0.2261,91.68,0.2572,90.77,0.000867
24,0.2284,91.65,0.2576,91.35,0.000856
25,0.2385,90.17,0.2813,90.00,0.000845
26,0.2252,91.19,0.2567,90.95,0.000834
27,0.2320,91.06,0.2193,92.33,0.000822
28,0.2199,91.86,0.2411,90.49,0.000810
29,0.2139,91.81,0.2398,90.69,0.000798
30,0.2122,92.03,0.2969,88.86,0.000785
31,0.2348,90.92,0.1988,92.69,0.000772
32,0.2064,92.38,0.2531,90.51,0.000759
33,0.2072,91.86,0.2058,92.15,0.000745
34,0.2185,91.62,0.2222,91.27,0.000732
35,0.1973,92.08,0.2414,91.76,0.000718
36,0.1917,92.51,0.2090,92.33,0.000704
37,0.1986,92.48,0.1932,93.01,0.000690
38,0.1969,92.65,0.2355,91.35,0.000675
39,0.2017,92.16,0.2977,88.24,0.000660
40,0.1991,92.40,0.2027,91.60,0.000646
41,0.1941,92.30,0.2028,91.96,0.000631
42,0.1914,92.38,0.2079,92.04,0.000616
43,0.1853,92.54,0.1744,92.25,0.000600
44,0.1812,92.62,0.2473,91.53,0.000585
45,0.1804,93.05,0.1815,93.40,0.000570
46,0.1618,93.35,0.2070,91.76,0.000554
47,0.1705,92.67,0.2046,92.15,0.000539
48,0.1778,92.86,0.2352,90.96,0.000523
49,0.1731,93.16,0.1979,91.74,0.000508
50,0.1712,93.00,0.1909,92.54,0.000492
51,0.1653,92.62,0.1980,92.23,0.000477
52,0.1668,93.80,0.1775,93.03,0.000461
53,0.1557,93.43,0.1984,93.39,0.000446
54,0.1512,93.35,0.2105,92.15,0.000430
55,0.1620,93.53,0.2173,90.13,0.000415
56,0.1641,93.48,0.1801,93.68,0.000400
57,0.1550,93.75,0.1748,92.61,0.000384
58,0.1460,93.94,0.2238,90.48,0.000369
59,0.1422,93.97,0.1762,92.72,0.000354
60,0.1406,94.18,0.1671,92.56,0.000340
61,0.1471,93.86,0.1766,93.62,0.000325
62,0.1286,94.61,0.1452,94.64,0.000310
63,0.1524,93.48,0.2088,92.01,0.000296
64,0.1585,93.51,0.1644,93.40,0.000282
65,0.1419,93.80,0.1793,92.82,0.000268
66,0.1344,94.64,0.2002,92.90,0.000255
67,0.1374,94.05,0.1539,93.40,0.000241
68,0.1302,94.67,0.1575,93.91,0.000228
69,0.1261,94.69,0.1642,93.70,0.000215
70,0.1375,94.07,0.1696,93.70,0.000202
71,0.1378,94.07,0.1617,93.89,0.000190
72,0.1374,94.29,0.1914,93.00,0.000178
73,0.1301,94.34,0.1615,93.77,0.000166
74,0.1282,94.37,0.1810,92.43,0.000155
75,0.1287,94.40,0.1742,93.19,0.000144
76,0.1266,94.83,0.1488,94.20,0.000133
77,0.1270,94.48,0.1630,93.42,0.000123
78,0.1333,94.34,0.1617,94.19,0.000113
79,0.1252,94.75,0.1953,92.08,0.000103
80,0.1304,94.29,0.1572,93.31,0.000094
81,0.1210,94.80,0.1699,93.99,0.000085
82,0.1122,94.75,0.1611,93.10,0.000076
