epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.5522,55.16,0.8319,73.47,0.001000,0.4496
1,0.6992,77.30,0.6135,77.46,0.000999,0.4458
2,0.5796,79.82,0.5547,80.01,0.000998,0.4751
3,0.5283,80.47,0.5325,80.44,0.000996,0.4340
4,0.5117,81.61,0.4662,81.42,0.000994,0.4473
5,0.4688,82.81,0.4772,82.44,0.000991,0.4320
6,0.4110,85.16,0.3616,87.24,0.000988,0.4454
7,0.3940,85.49,0.4248,84.17,0.000985,0.4518
8,0.3820,84.93,0.4017,84.35,0.000981,0.4628
9,0.3577,86.81,0.4275,84.98,0.000976,0.4381
10,0.3438,87.12,0.3789,84.64,0.000971,0.4322
11,0.3324,87.21,0.3205,87.33,0.000966,0.4382
12,0.3457,86.70,0.3406,86.86,0.000960,0.4401
13,0.3261,87.03,0.3468,85.97,0.000953,0.4366
14,0.2906,88.64,0.3128,89.00,0.000947,0.4452
15,0.2995,88.44,0.2513,90.51,0.000939,0.4352
16,0.2661,89.29,0.2898,89.12,0.000932,0.4530
17,0.2592,89.58,0.2431,89.64,0.000924,0.4407
18,0.2874,88.48,0.3235,88.51,0.000915,0.4371
19,0.2696,89.11,0.3229,86.86,0.000906,0.4666
20,0.2233,91.29,0.2891,87.15,0.000897,0.4382
21,0.2408,89.89,0.2848,88.72,0.000887,0.4361
22,0.2637,89.44,0.2688,89.44,0.000877,0.4388
23,0.2510,89.96,0.2800,89.06,0.000867,0.4675
24,0.2357,90.31,0.2847,89.06,0.000856,0.4440
25,0.2140,91.36,0.2164,90.80,0.000845,0.4389
26,0.2231,90.85,0.2467,88.11,0.000834,0.4421
27,0.2080,91.50,0.2514,89.41,0.000822,0.4435
28,0.1934,92.34,0.2367,89.61,0.000810,0.4473
29,0.1945,91.70,0.2496,89.84,0.000798,0.4615
30,0.1677,92.77,0.2287,89.55,0.000785,0.4409
31,0.1852,91.83,0.2773,89.35,0.000772,0.4476
32,0.1766,92.28,0.2300,90.74,0.000759,0.4392
33,0.1953,91.29,0.2898,86.55,0.000745,0.4524
34,0.1799,92.52,0.2562,90.80,0.000732,0.4424
35,0.1792,92.28,0.2027,92.42,0.000718,0.4375
36,0.1739,92.52,0.2388,90.51,0.000704,0.4442
37,0.1700,92.99,0.2138,89.93,0.000690,0.4324
38,0.1757,92.25,0.2741,88.45,0.000675,0.4346
39,0.1656,92.77,0.1756,93.11,0.000660,0.4343
40,0.1558,93.68,0.1682,92.39,0.000646,0.4473
