epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.6803,55.32,0.9728,72.31,0.001000,0.4442
1,0.8430,75.10,0.7342,76.95,0.000999,0.4542
2,0.6923,78.30,0.7316,78.02,0.000998,0.4682
3,0.6392,80.02,0.6136,80.17,0.000996,0.4449
4,0.6075,80.54,0.5983,82.12,0.000994,0.4150
5,0.5477,82.01,0.4787,83.71,0.000991,0.4548
6,0.5045,83.62,0.5386,80.85,0.000988,0.4374
7,0.4503,84.50,0.5119,82.73,0.000985,0.4286
8,0.4568,85.43,0.5168,82.02,0.000981,0.4336
9,0.4111,85.84,0.4142,84.98,0.000976,0.4398
10,0.4251,85.51,0.4748,81.48,0.000971,0.4411
11,0.3806,86.54,0.3708,87.23,0.000966,0.4259
12,0.3641,87.53,0.4064,87.81,0.000960,0.4344
13,0.3517,88.36,0.3424,87.75,0.000953,0.4265
14,0.3448,88.33,0.3414,87.44,0.000947,0.4344
15,0.3691,87.58,0.4300,83.81,0.000939,0.4284
16,0.3177,89.09,0.3989,87.35,0.000932,0.4295
17,0.3189,89.24,0.2755,91.08,0.000924,0.4240
18,0.3013,89.47,0.3310,88.02,0.000915,0.4529
19,0.3163,88.76,0.3181,89.09,0.000906,0.4296
20,0.2819,89.64,0.3420,88.53,0.000897,0.4280
21,0.2743,90.55,0.2616,91.26,0.000887,0.4343
22,0.2648,90.73,0.3384,89.60,0.000877,0.4591
23,0.2473,91.76,0.2428,91.07,0.000867,0.4383
24,0.2497,91.51,0.2354,92.05,0.000856,0.4318
25,0.2527,91.13,0.2698,91.65,0.000845,0.4211
26,0.2648,90.83,0.2480,90.38,0.000834,0.4329
27,0.2360,91.58,0.2956,90.27,0.000822,0.4634
28,0.2422,91.36,0.3170,86.73,0.000810,0.4257
29,0.2391,91.78,0.2968,88.89,0.000798,0.4367
30,0.2206,92.44,0.2929,88.90,0.000785,0.4596
31,0.2284,91.71,0.2520,91.27,0.000772,0.4353
32,0.2214,92.31,0.2543,90.68,0.000759,0.4522
33,0.2271,91.91,0.3190,87.80,0.000745,0.4422
34,0.2044,92.79,0.2173,92.64,0.000732,0.4472
35,0.1939,92.89,0.2076,93.62,0.000718,0.4442
36,0.2100,92.74,0.2015,91.95,0.000704,0.4236
37,0.2099,92.36,0.2334,91.64,0.000690,0.4425
38,0.1961,92.92,0.2165,91.96,0.000675,0.4334
39,0.1927,93.62,0.2632,89.71,0.000660,0.4577
40,0.1978,92.79,0.2244,92.74,0.000646,0.4337
41,0.1821,93.62,0.2175,92.54,0.000631,0.4404
42,0.1850,92.89,0.2113,91.47,0.000616,0.4605
43,0.1732,93.37,0.3460,87.84,0.000600,0.4423
44,0.1694,93.93,0.2132,91.66,0.000585,0.4592
45,0.1801,93.88,0.2539,89.69,0.000570,0.4264
46,0.1764,93.27,0.2121,92.15,0.000554,0.4380
47,0.1619,94.05,0.1997,93.83,0.000539,0.4483
48,0.1578,94.18,0.1852,93.25,0.000523,0.4504
49,0.1476,94.78,0.1815,94.32,0.000508,0.4440
50,0.1506,94.46,0.1861,94.02,0.000492,0.4335
51,0.1531,94.15,0.1793,92.36,0.000477,0.4461
52,0.1594,94.05,0.1876,92.93,0.000461,0.4277
53,0.1405,94.91,0.1719,94.90,0.000446,0.4334
54,0.1476,94.83,0.2067,93.21,0.000430,0.4317
55,0.1468,94.23,0.2333,91.26,0.000415,0.4399
56,0.1442,94.48,0.1685,93.92,0.000400,0.4564
57,0.1482,94.58,0.1913,93.13,0.000384,0.4379
58,0.1403,94.81,0.1493,95.09,0.000369,0.4503
59,0.1235,95.01,0.1585,94.11,0.000354,0.4436
60,0.1365,94.98,0.1441,95.09,0.000340,0.4495
61,0.1417,94.71,0.1836,92.35,0.000325,0.4710
62,0.1346,94.53,0.1468,94.70,0.000310,0.4386
63,0.1260,95.31,0.1616,94.31,0.000296,0.4207
64,0.1288,95.06,0.1446,94.20,0.000282,0.4354
65,0.1250,95.16,0.1769,93.92,0.000268,0.4468
66,0.1261,95.36,0.1390,94.30,0.000255,0.4373
67,0.1219,95.77,0.1843,93.32,0.000241,0.4272
68,0.1213,95.24,0.1707,95.09,0.000228,0.4506
69,0.1178,95.44,0.1338,95.49,0.000215,0.4489
70,0.1244,95.44,0.1652,94.60,0.000202,0.4244
71,0.1142,95.79,0.1483,94.90,0.000190,0.4480
72,0.1104,95.97,0.1162,95.49,0.000178,0.4225
73,0.1103,95.84,0.1777,94.71,0.000166,0.4510
74,0.1068,95.89,0.1691,93.93,0.000155,0.4411
75,0.1186,95.31,0.2393,92.63,0.000144,0.4411
76,0.1075,95.97,0.1555,94.61,0.000133,0.4276
77,0.1138,95.82,0.1299,95.29,0.000123,0.4232
78,0.1070,95.92,0.1246,95.19,0.000113,0.4565
79,0.1051,95.89,0.1896,93.43,0.000103,0.4322
80,0.0966,96.14,0.1606,95.29,0.000094,0.4208
81,0.1022,96.22,0.1261,95.49,0.000085,0.4509
82,0.1019,96.07,0.1595,94.31,0.000076,0.4355
83,0.1016,96.40,0.1321,93.73,0.000068,0.4571
84,0.1091,95.89,0.1303,94.61,0.000061,0.4465
85,0.0946,96.85,0.1393,93.24,0.000053,0.4312
86,0.1147,95.51,0.1686,93.03,0.000047,0.4362
87,0.1060,96.02,0.1712,93.53,0.000040,0.4334
88,0.0963,96.35,0.1672,93.91,0.000034,0.4607
89,0.0930,96.17,0.1243,95.48,0.000029,0.4738
