epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,3.9333,3.96,2.5343,25.24,0.001000,0.1258
1,2.4845,23.63,1.9805,53.16,0.000999,0.0649
2,1.7310,54.25,1.7154,58.18,0.000998,0.0771
3,1.5100,58.84,1.3662,62.89,0.000996,0.0567
4,1.3110,63.33,1.1996,66.31,0.000994,0.0558
5,1.1790,66.41,1.1285,66.74,0.000991,0.0608
6,1.1384,63.04,1.0635,66.95,0.000988,0.0609
7,1.0655,64.31,1.0066,69.84,0.000985,0.0585
8,0.9869,69.04,0.9900,71.76,0.000981,0.0662
9,0.9405,71.00,0.9399,71.98,0.000976,0.0569
10,0.9267,73.58,0.9174,72.94,0.000971,0.0791
11,0.9101,73.97,0.8839,74.12,0.000966,0.0585
12,0.8842,73.73,0.8403,74.65,0.000960,0.0664
13,0.8032,76.12,0.7972,75.19,0.000953,0.0697
14,0.8300,73.44,0.7805,75.08,0.000947,0.0793
15,0.7675,75.44,0.7634,74.65,0.000939,0.0562
16,0.7338,76.51,0.7353,76.36,0.000932,0.0595
17,0.7641,75.88,0.7300,75.94,0.000924,0.0631
18,0.7063,77.49,0.7139,76.58,0.000915,0.0596
19,0.6734,78.86,0.7168,76.79,0.000906,0.0570
20,0.7153,77.59,0.6805,78.07,0.000897,0.0601
21,0.6617,80.47,0.6613,78.82,0.000887,0.0660
22,0.6755,79.25,0.6495,79.68,0.000877,0.0667
23,0.6078,81.74,0.6349,80.00,0.000867,0.0617
24,0.6221,81.54,0.6207,80.00,0.000856,0.0695
25,0.6056,80.76,0.6183,79.25,0.000845,0.0659
26,0.6031,81.10,0.5983,80.96,0.000834,0.0662
27,0.5899,80.37,0.5910,81.50,0.000822,0.0624
28,0.5725,81.54,0.5811,81.28,0.000810,0.0691
29,0.5773,81.40,0.5654,82.03,0.000798,0.0605
30,0.5880,81.01,0.5682,81.28,0.000785,0.0608
31,0.5562,82.91,0.5541,82.25,0.000772,0.0657
32,0.5537,83.84,0.5604,82.78,0.000759,0.0624
33,0.5527,82.57,0.5547,82.35,0.000745,0.0612
34,0.5446,83.20,0.5507,80.86,0.000732,0.0664
35,0.5427,82.47,0.5380,82.03,0.000718,0.0587
36,0.5095,83.40,0.5278,82.35,0.000704,0.0580
37,0.5286,82.67,0.5134,83.53,0.000690,0.0562
38,0.5379,82.91,0.5220,83.42,0.000675,0.0633
39,0.5129,84.08,0.5168,83.96,0.000660,0.0575
40,0.4869,85.35,0.5151,83.42,0.000646,0.0608
41,0.5005,84.47,0.5064,83.64,0.000631,0.0625
42,0.4907,84.77,0.5063,82.57,0.000616,0.0586
43,0.4754,84.72,0.5039,82.03,0.000600,0.0572
44,0.5036,82.57,0.4976,81.60,0.000585,0.0570
45,0.4644,84.18,0.4886,83.10,0.000570,0.0550
46,0.4550,85.45,0.4954,83.21,0.000554,0.0566
47,0.4643,85.74,0.4832,82.99,0.000539,0.0608
48,0.4544,85.11,0.4691,84.49,0.000523,0.0578
49,0.4449,85.94,0.4804,82.99,0.000508,0.0577
50,0.4693,85.01,0.4742,84.39,0.000492,0.0574
51,0.4608,86.28,0.4755,82.99,0.000477,0.0529
52,0.4538,84.67,0.4778,81.39,0.000461,0.0614
53,0.4319,85.50,0.4691,82.14,0.000446,0.0577
54,0.4404,83.94,0.4571,82.78,0.000430,0.0552
55,0.4329,85.40,0.4610,83.10,0.000415,0.0586
56,0.4728,82.37,0.4593,81.39,0.000400,0.0634
57,0.4152,86.77,0.4478,84.17,0.000384,0.0656
58,0.4373,85.40,0.4464,85.03,0.000369,0.0603
59,0.4277,86.18,0.4480,84.81,0.000354,0.0662
60,0.4272,86.72,0.4548,84.71,0.000340,0.0632
61,0.4076,87.40,0.4493,83.85,0.000325,0.0700
62,0.4365,86.08,0.4462,84.17,0.000310,0.0545
63,0.4300,85.16,0.4654,82.78,0.000296,0.0699
64,0.4230,85.60,0.4456,84.06,0.000282,0.0570
65,0.4419,85.35,0.4394,83.64,0.000268,0.0629
66,0.4090,86.72,0.4501,82.35,0.000255,0.0639
67,0.4091,86.18,0.4437,82.25,0.000241,0.0582
68,0.3977,85.94,0.4465,82.46,0.000228,0.0591
69,0.4177,85.69,0.4318,84.49,0.000215,0.0563
70,0.4057,86.04,0.4315,83.96,0.000202,0.0556
71,0.4280,84.42,0.4377,82.67,0.000190,0.0599
72,0.4156,85.74,0.4315,83.85,0.000178,0.0658
73,0.4276,85.60,0.4320,83.74,0.000166,0.0602
