epoch,train_loss,train_acc,val_loss,val_acc,lr
0,43.5683,3.59,45.7768,4.12,0.001000
1,26.9272,26.56,12.2644,39.80,0.000999
2,11.0452,52.66,5.8570,53.22,0.000998
3,4.7785,56.25,3.4074,60.39,0.000996
4,2.7635,65.62,2.2508,69.59,0.000994
5,2.0712,72.19,2.9664,62.12,0.000991
6,1.8537,68.91,2.0534,61.91,0.000988
7,1.5508,69.53,1.4077,71.98,0.000985
8,1.1261,74.84,1.2488,70.38,0.000981
9,1.0678,75.16,1.2603,71.38,0.000976
10,0.9315,77.66,1.2289,71.33,0.000971
11,1.0869,76.41,1.2411,79.50,0.000966
12,0.8418,80.00,1.1756,79.11,0.000960
13,0.9211,75.94,1.2664,73.33,0.000953
14,0.8691,78.28,1.1401,77.11,0.000947
15,0.7555,81.41,1.1157,76.67,0.000939
16,0.6784,84.22,1.0769,80.67,0.000932
17,0.7462,81.88,1.0963,80.84,0.000924
18,0.6697,83.28,1.2088,79.84,0.000915
19,0.8071,81.88,1.1829,75.67,0.000906
20,0.6969,84.38,0.9376,78.89,0.000897
21,0.6440,85.47,1.0776,79.06,0.000887
22,0.6427,85.62,1.0428,79.50,0.000877
23,0.6575,83.91,1.2119,78.89,0.000867
24,0.8184,82.19,1.3353,82.67,0.000856
25,0.7183,85.47,1.4810,78.84,0.000845
26,0.6278,86.56,1.3282,78.50,0.000834
27,0.6978,83.28,1.0681,81.28,0.000822
28,0.6728,84.53,1.4253,78.84,0.000810
29,0.6579,84.38,1.1468,80.06,0.000798
30,0.6875,81.25,0.9151,84.02,0.000785
31,0.6056,86.25,0.9431,82.50,0.000772
32,0.5669,86.56,0.9616,80.67,0.000759
33,0.5392,86.25,1.0193,79.84,0.000745
34,0.5083,83.59,1.1180,82.23,0.000732
35,0.5304,86.88,1.2886,82.02,0.000718
36,0.4781,88.75,1.1265,86.80,0.000704
37,0.4675,89.22,0.8724,81.45,0.000690
38,0.4855,88.12,0.9565,83.62,0.000675
39,0.4738,88.12,0.9665,82.23,0.000660
40,0.4048,89.06,0.8404,82.45,0.000646
41,0.5494,85.94,1.0049,80.89,0.000631
42,0.4343,88.28,0.9435,85.41,0.000616
43,0.4087,88.75,0.8241,81.28,0.000600
44,0.4656,87.81,0.7571,81.28,0.000585
45,0.4022,89.69,0.9503,80.84,0.000570
46,0.4469,88.28,0.9955,85.62,0.000554
47,0.4824,87.81,0.8078,84.62,0.000539
48,0.3820,87.97,1.0747,86.41,0.000523
49,0.3817,89.53,0.9109,84.23,0.000508
50,0.3759,89.84,0.8975,81.84,0.000492
51,0.4097,88.12,0.9608,82.23,0.000477
