epoch,train_loss,train_acc,val_loss,val_acc,lr
0,39.2760,2.47,53.8034,12.35,0.001000
1,29.6042,30.21,11.8929,44.02,0.000999
2,6.5390,54.04,4.3242,56.05,0.000998
3,3.0078,62.76,3.1641,59.04,0.000996
4,1.9252,67.45,3.4319,63.59,0.000994
5,1.7092,68.36,2.4545,63.78,0.000991
6,1.4025,70.05,1.6608,67.62,0.000988
7,1.1329,72.66,1.4871,66.32,0.000985
8,0.9768,76.43,1.4299,68.34,0.000981
9,0.9582,74.87,1.8685,69.12,0.000976
10,0.9894,74.61,1.3315,70.02,0.000971
11,0.9111,76.43,1.2595,69.44,0.000966
12,0.7855,79.56,1.1965,72.62,0.000960
13,0.7676,80.08,1.1379,72.11,0.000953
14,0.8729,78.12,1.1091,77.37,0.000947
15,0.7858,80.99,1.1527,70.68,0.000939
16,0.6850,82.81,1.0124,73.60,0.000932
17,0.7322,82.03,0.9411,73.60,0.000924
18,0.7520,81.64,1.0273,77.18,0.000915
19,0.8027,83.20,1.0213,75.81,0.000906
20,0.7357,82.55,0.9285,76.72,0.000897
21,0.6840,82.55,1.3405,71.98,0.000887
22,0.7026,83.59,1.2651,75.68,0.000877
23,0.7048,83.59,1.0566,73.15,0.000867
24,0.7009,83.07,0.9326,75.75,0.000856
25,0.6173,84.90,1.1673,73.54,0.000845
26,0.6079,83.98,0.8985,75.75,0.000834
27,0.6709,84.24,1.1992,72.11,0.000822
28,0.4969,85.29,0.9224,76.27,0.000810
29,0.6120,82.94,1.3798,73.42,0.000798
