epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,1.3636,59.38,0.8574,73.08,0.001000,0.4372
1,0.7727,74.39,0.7043,78.41,0.000999,0.4304
2,0.6509,75.93,0.7504,77.84,0.000998,0.4507
3,0.6008,76.82,0.5703,78.27,0.000996,0.4651
4,0.5577,78.70,0.5856,77.64,0.000994,0.4353
5,0.5474,78.82,0.5380,77.20,0.000991,0.4484
6,0.5221,79.57,0.5341,78.20,0.000988,0.4369
7,0.4781,81.05,0.5271,79.63,0.000985,0.4432
8,0.4615,82.00,0.4914,81.70,0.000981,0.4398
9,0.4132,82.64,0.4695,80.33,0.000976,0.4528
10,0.4202,82.87,0.4573,83.02,0.000971,0.4522
11,0.3967,83.39,0.5086,81.11,0.000966,0.4716
12,0.3834,83.10,0.4167,81.34,0.000960,0.4432
13,0.3852,83.88,0.4872,82.47,0.000953,0.4373
14,0.3991,84.38,0.4481,81.16,0.000947,0.4331
15,0.3805,84.43,0.4266,82.83,0.000939,0.4383
16,0.3352,85.56,0.4071,84.72,0.000932,0.4342
17,0.3539,84.66,0.4179,82.92,0.000924,0.4411
18,0.3352,85.97,0.4175,84.58,0.000915,0.4695
19,0.3318,85.24,0.4663,82.38,0.000906,0.4210
20,0.3271,86.49,0.4181,81.91,0.000897,0.4408
21,0.3208,86.92,0.4917,80.81,0.000887,0.4573
22,0.3137,87.07,0.4118,84.61,0.000877,0.4519
23,0.3047,86.05,0.3770,84.27,0.000867,0.4450
24,0.3038,86.66,0.3819,84.70,0.000856,0.4233
25,0.2972,87.18,0.3908,83.38,0.000845,0.4484
26,0.3028,86.49,0.3525,84.16,0.000834,0.4448
27,0.2833,87.70,0.3677,84.03,0.000822,0.4437
28,0.2741,87.30,0.3483,85.30,0.000810,0.4342
29,0.2662,87.70,0.3595,84.26,0.000798,0.4399
30,0.2641,88.31,0.4020,85.60,0.000785,0.4413
31,0.2812,87.82,0.3359,85.05,0.000772,0.4349
32,0.2570,88.22,0.3509,86.94,0.000759,0.4481
33,0.2793,87.21,0.2899,88.10,0.000745,0.4224
34,0.2423,88.72,0.3169,86.62,0.000732,0.4381
35,0.2371,89.03,0.3023,87.30,0.000718,0.4379
36,0.2368,88.54,0.2853,86.98,0.000704,0.4425
37,0.2382,88.92,0.2949,89.21,0.000690,0.4325
38,0.2537,87.64,0.3137,87.55,0.000675,0.4486
39,0.2340,89.55,0.3522,83.81,0.000660,0.4760
40,0.2310,88.74,0.3012,86.97,0.000646,0.4320
41,0.2424,89.38,0.3047,86.52,0.000631,0.4306
42,0.2370,89.38,0.3245,85.28,0.000616,0.4474
43,0.2398,89.70,0.3104,84.30,0.000600,0.4365
44,0.2361,88.54,0.3740,84.97,0.000585,0.4485
45,0.2274,89.21,0.3429,86.06,0.000570,0.4396
46,0.2229,89.90,0.3403,84.70,0.000554,0.4390
47,0.2115,89.73,0.2541,88.99,0.000539,0.4632
48,0.2150,89.64,0.2920,88.31,0.000523,0.4594
49,0.2003,91.00,0.2606,89.33,0.000508,0.4393
50,0.1960,90.94,0.3098,86.96,0.000492,0.4537
51,0.2013,90.80,0.2573,90.69,0.000477,0.4473
52,0.1942,90.83,0.2751,86.75,0.000461,0.4350
53,0.2128,90.22,0.2519,88.11,0.000446,0.4358
54,0.2079,89.81,0.2821,88.21,0.000430,0.4181
55,0.2015,90.83,0.2733,86.96,0.000415,0.4545
56,0.1837,91.55,0.3007,87.20,0.000400,0.4488
57,0.1820,91.26,0.2775,89.33,0.000384,0.4723
58,0.1959,91.06,0.3326,87.90,0.000369,0.4566
59,0.2038,90.60,0.2687,87.09,0.000354,0.4346
60,0.1789,91.75,0.2504,90.12,0.000340,0.4590
61,0.1822,90.77,0.2877,87.96,0.000325,0.4666
62,0.1772,92.42,0.2250,90.90,0.000310,0.4451
63,0.1808,90.65,0.2763,89.56,0.000296,0.4396
64,0.1890,91.20,0.2625,87.98,0.000282,0.4447
65,0.1754,91.75,0.2533,91.37,0.000268,0.4548
66,0.1785,91.84,0.2572,89.44,0.000255,0.4305
67,0.1777,91.72,0.2717,90.21,0.000241,0.4714
68,0.1674,92.13,0.2623,86.98,0.000228,0.4676
69,0.1643,91.93,0.2668,89.34,0.000215,0.4572
70,0.1798,91.70,0.2736,88.43,0.000202,0.4588
71,0.1511,92.80,0.2780,88.21,0.000190,0.4283
72,0.1519,92.27,0.2739,88.66,0.000178,0.4567
73,0.1667,91.87,0.2285,90.13,0.000166,0.4320
74,0.1494,93.06,0.2201,90.25,0.000155,0.4816
75,0.1666,92.07,0.2059,90.03,0.000144,0.4635
76,0.1526,92.74,0.2247,90.79,0.000133,0.4257
77,0.1542,92.25,0.2484,89.44,0.000123,0.4340
78,0.1630,91.72,0.2643,89.21,0.000113,0.4487
79,0.1508,92.68,0.1979,90.56,0.000103,0.4665
80,0.1602,92.16,0.2503,89.46,0.000094,0.4325
81,0.1478,92.68,0.2390,89.44,0.000085,0.4379
82,0.1572,92.13,0.2647,89.23,0.000076,0.4470
83,0.1575,91.61,0.2088,90.58,0.000068,0.4340
84,0.1462,92.94,0.2199,88.99,0.000061,0.4278
85,0.1598,92.51,0.2020,90.78,0.000053,0.4364
