metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.069,ms
realtime_headroom_x,24.16,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11559678,SynOps
operation_reduction_x,3.34,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12758.91,nJ
energy_savings_x,14.53,x
firing_rate_lif1_%,27.22,%
sparsity_lif1_%,72.78,%
avg_spikes_lif1,13937.5,spikes/sample
firing_rate_lif2_%,32.36,%
sparsity_lif2_%,67.64,%
avg_spikes_lif2,16570.4,spikes/sample
firing_rate_lif3_%,39.42,%
sparsity_lif3_%,60.58,%
avg_spikes_lif3,10090.6,spikes/sample
firing_rate_lif_out_%,65.15,%
sparsity_lif_out_%,34.85,%
avg_spikes_lif_out,1172.7,spikes/sample
