metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.080,ms
realtime_headroom_x,24.04,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,10714926,SynOps
operation_reduction_x,3.59,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,11998.63,nJ
energy_savings_x,15.45,x
firing_rate_lif1_%,24.41,%
sparsity_lif1_%,75.59,%
avg_spikes_lif1,12496.9,spikes/sample
firing_rate_lif2_%,31.65,%
sparsity_lif2_%,68.35,%
avg_spikes_lif2,16205.6,spikes/sample
firing_rate_lif3_%,36.43,%
sparsity_lif3_%,63.57,%
avg_spikes_lif3,9325.4,spikes/sample
firing_rate_lif_out_%,64.53,%
sparsity_lif_out_%,35.47,%
avg_spikes_lif_out,1161.5,spikes/sample
