metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.133,ms
realtime_headroom_x,23.44,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,10319649,SynOps
operation_reduction_x,3.72,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,11642.88,nJ
energy_savings_x,15.92,x
firing_rate_lif1_%,23.29,%
sparsity_lif1_%,76.71,%
avg_spikes_lif1,11925.4,spikes/sample
firing_rate_lif2_%,30.98,%
sparsity_lif2_%,69.02,%
avg_spikes_lif2,15860.3,spikes/sample
firing_rate_lif3_%,33.34,%
sparsity_lif3_%,66.66,%
avg_spikes_lif3,8535.2,spikes/sample
firing_rate_lif_out_%,0.43,%
sparsity_lif_out_%,99.57,%
avg_spikes_lif_out,7.8,spikes/sample
