metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.027,ms
realtime_headroom_x,24.67,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11601726,SynOps
operation_reduction_x,3.33,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12796.75,nJ
energy_savings_x,14.48,x
firing_rate_lif1_%,27.49,%
sparsity_lif1_%,72.51,%
avg_spikes_lif1,14073.2,spikes/sample
firing_rate_lif2_%,32.30,%
sparsity_lif2_%,67.70,%
avg_spikes_lif2,16536.8,spikes/sample
firing_rate_lif3_%,35.33,%
sparsity_lif3_%,64.67,%
avg_spikes_lif3,9044.1,spikes/sample
firing_rate_lif_out_%,0.81,%
sparsity_lif_out_%,99.19,%
avg_spikes_lif_out,14.5,spikes/sample
