metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.112,ms
realtime_headroom_x,23.68,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11695232,SynOps
operation_reduction_x,3.30,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12880.91,nJ
energy_savings_x,14.39,x
firing_rate_lif1_%,28.48,%
sparsity_lif1_%,71.52,%
avg_spikes_lif1,14582.5,spikes/sample
firing_rate_lif2_%,31.10,%
sparsity_lif2_%,68.90,%
avg_spikes_lif2,15924.7,spikes/sample
firing_rate_lif3_%,33.05,%
sparsity_lif3_%,66.95,%
avg_spikes_lif3,8460.3,spikes/sample
firing_rate_lif_out_%,8.01,%
sparsity_lif_out_%,91.99,%
avg_spikes_lif_out,144.1,spikes/sample
