metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.959,ms
realtime_headroom_x,25.52,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11432833,SynOps
operation_reduction_x,3.37,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12644.75,nJ
energy_savings_x,14.66,x
firing_rate_lif1_%,27.86,%
sparsity_lif1_%,72.14,%
avg_spikes_lif1,14265.2,spikes/sample
firing_rate_lif2_%,30.34,%
sparsity_lif2_%,69.66,%
avg_spikes_lif2,15532.2,spikes/sample
firing_rate_lif3_%,33.16,%
sparsity_lif3_%,66.84,%
avg_spikes_lif3,8488.6,spikes/sample
firing_rate_lif_out_%,4.82,%
sparsity_lif_out_%,95.18,%
avg_spikes_lif_out,86.8,spikes/sample
