metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.088,ms
realtime_headroom_x,23.94,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11255136,SynOps
operation_reduction_x,3.42,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12484.82,nJ
energy_savings_x,14.85,x
firing_rate_lif1_%,26.42,%
sparsity_lif1_%,73.58,%
avg_spikes_lif1,13525.7,spikes/sample
firing_rate_lif2_%,31.86,%
sparsity_lif2_%,68.14,%
avg_spikes_lif2,16313.6,spikes/sample
firing_rate_lif3_%,33.36,%
sparsity_lif3_%,66.64,%
avg_spikes_lif3,8539.8,spikes/sample
firing_rate_lif_out_%,0.54,%
sparsity_lif_out_%,99.46,%
avg_spikes_lif_out,9.7,spikes/sample
