metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.003,ms
realtime_headroom_x,24.96,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,13197927,SynOps
operation_reduction_x,2.94,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,14233.33,nJ
energy_savings_x,13.02,x
firing_rate_lif1_%,31.77,%
sparsity_lif1_%,68.23,%
avg_spikes_lif1,16264.1,spikes/sample
firing_rate_lif2_%,35.78,%
sparsity_lif2_%,64.22,%
avg_spikes_lif2,18317.9,spikes/sample
firing_rate_lif3_%,39.36,%
sparsity_lif3_%,60.64,%
avg_spikes_lif3,10075.4,spikes/sample
firing_rate_lif_out_%,68.48,%
sparsity_lif_out_%,31.52,%
avg_spikes_lif_out,1232.6,spikes/sample
