metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.024,ms
realtime_headroom_x,24.71,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,10041215,SynOps
operation_reduction_x,3.82,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,11392.29,nJ
energy_savings_x,16.27,x
firing_rate_lif1_%,23.26,%
sparsity_lif1_%,76.74,%
avg_spikes_lif1,11911.4,spikes/sample
firing_rate_lif2_%,28.90,%
sparsity_lif2_%,71.10,%
avg_spikes_lif2,14797.7,spikes/sample
firing_rate_lif3_%,33.51,%
sparsity_lif3_%,66.49,%
avg_spikes_lif3,8577.7,spikes/sample
firing_rate_lif_out_%,6.60,%
sparsity_lif_out_%,93.40,%
avg_spikes_lif_out,118.9,spikes/sample
