metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.971,ms
realtime_headroom_x,25.37,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11991650,SynOps
operation_reduction_x,3.22,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,13147.68,nJ
energy_savings_x,14.10,x
firing_rate_lif1_%,29.86,%
sparsity_lif1_%,70.14,%
avg_spikes_lif1,15290.8,spikes/sample
firing_rate_lif2_%,30.71,%
sparsity_lif2_%,69.29,%
avg_spikes_lif2,15721.0,spikes/sample
firing_rate_lif3_%,29.98,%
sparsity_lif3_%,70.02,%
avg_spikes_lif3,7675.1,spikes/sample
firing_rate_lif_out_%,8.07,%
sparsity_lif_out_%,91.93,%
avg_spikes_lif_out,145.3,spikes/sample
