metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.858,ms
realtime_headroom_x,26.91,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11390059,SynOps
operation_reduction_x,3.39,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12606.25,nJ
energy_savings_x,14.70,x
firing_rate_lif1_%,27.25,%
sparsity_lif1_%,72.75,%
avg_spikes_lif1,13951.8,spikes/sample
firing_rate_lif2_%,31.23,%
sparsity_lif2_%,68.77,%
avg_spikes_lif2,15991.7,spikes/sample
firing_rate_lif3_%,33.17,%
sparsity_lif3_%,66.83,%
avg_spikes_lif3,8492.0,spikes/sample
firing_rate_lif_out_%,2.09,%
sparsity_lif_out_%,97.91,%
avg_spikes_lif_out,37.6,spikes/sample
