metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.052,ms
realtime_headroom_x,24.36,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11874287,SynOps
operation_reduction_x,3.25,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,13042.06,nJ
energy_savings_x,14.21,x
firing_rate_lif1_%,28.97,%
sparsity_lif1_%,71.03,%
avg_spikes_lif1,14831.3,spikes/sample
firing_rate_lif2_%,31.47,%
sparsity_lif2_%,68.53,%
avg_spikes_lif2,16111.1,spikes/sample
firing_rate_lif3_%,33.91,%
sparsity_lif3_%,66.09,%
avg_spikes_lif3,8680.6,spikes/sample
firing_rate_lif_out_%,60.83,%
sparsity_lif_out_%,39.17,%
avg_spikes_lif_out,1094.9,spikes/sample
