metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.102,ms
realtime_headroom_x,23.79,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11515086,SynOps
operation_reduction_x,3.35,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12718.78,nJ
energy_savings_x,14.57,x
firing_rate_lif1_%,27.63,%
sparsity_lif1_%,72.37,%
avg_spikes_lif1,14144.8,spikes/sample
firing_rate_lif2_%,31.33,%
sparsity_lif2_%,68.67,%
avg_spikes_lif2,16043.0,spikes/sample
firing_rate_lif3_%,36.01,%
sparsity_lif3_%,63.99,%
avg_spikes_lif3,9218.3,spikes/sample
firing_rate_lif_out_%,0.51,%
sparsity_lif_out_%,99.49,%
avg_spikes_lif_out,9.2,spikes/sample
