metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.195,ms
realtime_headroom_x,22.78,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11704524,SynOps
operation_reduction_x,3.30,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12889.27,nJ
energy_savings_x,14.38,x
firing_rate_lif1_%,28.40,%
sparsity_lif1_%,71.60,%
avg_spikes_lif1,14538.5,spikes/sample
firing_rate_lif2_%,31.36,%
sparsity_lif2_%,68.64,%
avg_spikes_lif2,16058.6,spikes/sample
firing_rate_lif3_%,32.51,%
sparsity_lif3_%,67.49,%
avg_spikes_lif3,8321.7,spikes/sample
firing_rate_lif_out_%,16.25,%
sparsity_lif_out_%,83.75,%
avg_spikes_lif_out,292.5,spikes/sample
