metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.997,ms
realtime_headroom_x,25.04,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,13175377,SynOps
operation_reduction_x,2.94,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,14213.04,nJ
energy_savings_x,13.04,x
firing_rate_lif1_%,33.03,%
sparsity_lif1_%,66.97,%
avg_spikes_lif1,16913.3,spikes/sample
firing_rate_lif2_%,33.18,%
sparsity_lif2_%,66.82,%
avg_spikes_lif2,16990.2,spikes/sample
firing_rate_lif3_%,36.09,%
sparsity_lif3_%,63.91,%
avg_spikes_lif3,9238.8,spikes/sample
firing_rate_lif_out_%,60.19,%
sparsity_lif_out_%,39.81,%
avg_spikes_lif_out,1083.4,spikes/sample
