metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.022,ms
realtime_headroom_x,24.73,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,10396710,SynOps
operation_reduction_x,3.69,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,11712.24,nJ
energy_savings_x,15.83,x
firing_rate_lif1_%,24.48,%
sparsity_lif1_%,75.52,%
avg_spikes_lif1,12534.2,spikes/sample
firing_rate_lif2_%,29.28,%
sparsity_lif2_%,70.72,%
avg_spikes_lif2,14992.6,spikes/sample
firing_rate_lif3_%,30.62,%
sparsity_lif3_%,69.38,%
avg_spikes_lif3,7839.6,spikes/sample
firing_rate_lif_out_%,6.56,%
sparsity_lif_out_%,93.44,%
avg_spikes_lif_out,118.2,spikes/sample
