metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.070,ms
realtime_headroom_x,24.15,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,9271204,SynOps
operation_reduction_x,4.12,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,10699.28,nJ
energy_savings_x,17.32,x
firing_rate_lif1_%,20.72,%
sparsity_lif1_%,79.28,%
avg_spikes_lif1,10610.9,spikes/sample
firing_rate_lif2_%,28.19,%
sparsity_lif2_%,71.81,%
avg_spikes_lif2,14432.8,spikes/sample
firing_rate_lif3_%,31.17,%
sparsity_lif3_%,68.83,%
avg_spikes_lif3,7979.6,spikes/sample
firing_rate_lif_out_%,0.38,%
sparsity_lif_out_%,99.62,%
avg_spikes_lif_out,6.8,spikes/sample
