metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.113,ms
realtime_headroom_x,23.66,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,9060002,SynOps
operation_reduction_x,4.21,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,10509.20,nJ
energy_savings_x,17.64,x
firing_rate_lif1_%,21.00,%
sparsity_lif1_%,79.00,%
avg_spikes_lif1,10751.1,spikes/sample
firing_rate_lif2_%,26.09,%
sparsity_lif2_%,73.91,%
avg_spikes_lif2,13356.8,spikes/sample
firing_rate_lif3_%,29.54,%
sparsity_lif3_%,70.46,%
avg_spikes_lif3,7562.7,spikes/sample
firing_rate_lif_out_%,0.57,%
sparsity_lif_out_%,99.43,%
avg_spikes_lif_out,10.2,spikes/sample
