metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.964,ms
realtime_headroom_x,25.46,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,10896214,SynOps
operation_reduction_x,3.53,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12161.79,nJ
energy_savings_x,15.24,x
firing_rate_lif1_%,26.22,%
sparsity_lif1_%,73.78,%
avg_spikes_lif1,13426.7,spikes/sample
firing_rate_lif2_%,29.58,%
sparsity_lif2_%,70.42,%
avg_spikes_lif2,15146.6,spikes/sample
firing_rate_lif3_%,31.30,%
sparsity_lif3_%,68.70,%
avg_spikes_lif3,8012.5,spikes/sample
firing_rate_lif_out_%,10.63,%
sparsity_lif_out_%,89.37,%
avg_spikes_lif_out,191.4,spikes/sample
