metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.949,ms
realtime_headroom_x,25.66,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,10510476,SynOps
operation_reduction_x,3.66,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,11814.63,nJ
energy_savings_x,15.69,x
firing_rate_lif1_%,23.59,%
sparsity_lif1_%,76.41,%
avg_spikes_lif1,12078.1,spikes/sample
firing_rate_lif2_%,31.83,%
sparsity_lif2_%,68.17,%
avg_spikes_lif2,16297.0,spikes/sample
firing_rate_lif3_%,33.52,%
sparsity_lif3_%,66.48,%
avg_spikes_lif3,8581.6,spikes/sample
firing_rate_lif_out_%,64.96,%
sparsity_lif_out_%,35.04,%
avg_spikes_lif_out,1169.2,spikes/sample
