metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.933,ms
realtime_headroom_x,25.87,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,13543197,SynOps
operation_reduction_x,2.87,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,14544.08,nJ
energy_savings_x,12.74,x
firing_rate_lif1_%,32.46,%
sparsity_lif1_%,67.54,%
avg_spikes_lif1,16617.8,spikes/sample
firing_rate_lif2_%,36.90,%
sparsity_lif2_%,63.10,%
avg_spikes_lif2,18890.6,spikes/sample
firing_rate_lif3_%,43.16,%
sparsity_lif3_%,56.84,%
avg_spikes_lif3,11050.0,spikes/sample
firing_rate_lif_out_%,68.24,%
sparsity_lif_out_%,31.76,%
avg_spikes_lif_out,1228.3,spikes/sample
