metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,1.948,ms
realtime_headroom_x,25.66,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,10758975,SynOps
operation_reduction_x,3.58,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12038.28,nJ
energy_savings_x,15.40,x
firing_rate_lif1_%,25.46,%
sparsity_lif1_%,74.54,%
avg_spikes_lif1,13036.9,spikes/sample
firing_rate_lif2_%,30.01,%
sparsity_lif2_%,69.99,%
avg_spikes_lif2,15365.1,spikes/sample
firing_rate_lif3_%,32.69,%
sparsity_lif3_%,67.31,%
avg_spikes_lif3,8369.2,spikes/sample
firing_rate_lif_out_%,56.74,%
sparsity_lif_out_%,43.26,%
avg_spikes_lif_out,1021.3,spikes/sample
