metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.047,ms
realtime_headroom_x,24.42,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,12252549,SynOps
operation_reduction_x,3.16,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,13382.49,nJ
energy_savings_x,13.85,x
firing_rate_lif1_%,29.04,%
sparsity_lif1_%,70.96,%
avg_spikes_lif1,14867.6,spikes/sample
firing_rate_lif2_%,34.05,%
sparsity_lif2_%,65.95,%
avg_spikes_lif2,17431.5,spikes/sample
firing_rate_lif3_%,38.60,%
sparsity_lif3_%,61.40,%
avg_spikes_lif3,9882.1,spikes/sample
firing_rate_lif_out_%,66.01,%
sparsity_lif_out_%,33.99,%
avg_spikes_lif_out,1188.1,spikes/sample
